,raw text,category
41," Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni",statement
42,"Semenjak tu, aku dah pasrah",symptom
43, Tak berani nak ambil cuti langsung,symptom
44," Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan",symptom
45," Bayangkan la, nak masak atau nak ke toilet pun aku takut",symptom
46," Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting",symptom
47, Aku rasa hidup aku sangat pathetic,symptom
48," Sedih!Kenapa aku tak tinggalkan je syarikat ni? Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti",statement
49, Tetapi selepas aku berjaya capai impian aku,statement
50," Buat sementara ni, aku terpaksa bertahan",statement
51, Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi,statement
52, Banyak sudah kezaliman yang bos dah buat terhadap aku,risk factor
53," Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku",risk factor
54,"Aku tak pernah MC, tak pernah EL",statement
55, Bekerja 24/7 365,statement
56, Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat,statement
57," Bukan aku saja, malah staf yang lain pun sama",statement
58," Kalau MC, tetap kena buat kerja walau apa cara sekalipun",statement
59, Aku rasa aku staf yang baik,statement
60, Tapi masih tak cukup bagus untuk dia,statement
61, Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia,statement
62, Bos aku sangat family oriented,statement
63," Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia",statement
64," Kalau ada yang tak hadir, siaplah, kena marah",risk factor
65,Gaji? Kat sini gaji basic saja,statement
66, Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni,statement
67," Kalau minta, memang kena reject saja",statement
68," Paling best, sampai sekarang aku takde offer letter",statement
69, Amacam?Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang,statement
70, Aku bertahan ni pun sebab nak gaji yang seciput tu je,statement
71, Sambil cari lubang kerja lain,statement
72," Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah",statement
73," Tapi aku percaya, Allah kan Maha Memberi Rezeki",statement
74," InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner",statement
75," Hakikatnya, ia dah pun berlaku terhadap syarikat ni",statement
76, Aku sangat bersyukur,statement
77," Dengan setiap cabaran yang bos dan syarikat tanggung sekarang, bos dah mula tahu bercakap guna bahasa yang baik dan belajar minta maaf dengan kami",statement
78, Cuma dia masih tak boleh buang tabiat buruk bab menipu kepada masyarakat,statement
79," Kalau sebelum ni, maki hamun adalah zikir harian dia kepada kami",statement
80," Setakat ayat “bodoh”, “takde otak”, “pemalas” tu, bagi aku ayat biasa macam mak-mak pujuk anak nak tidur",statement
81, Dah lali,statement
82,,statement
83,"Banyak nak ceritakan, tapi aku bukan seorang yang pandai mengarang",statement
84," Aku ini seorang yang pendiam, jarang berbual kecuali dengan orang yang rapat",statement
85, Aku ibu dengan 4 orang anak,statement
86, Doktor diagnos aku dengan depression(Kemurungan) sejak januari 2014,symptom
87, Ujian DASS memang dah teruk sejak beberapa tahun sebelum tu tapi tak dapatkan rawatan,symptom
88,"[Ujian DASS digunakan untuk menyaring seseorang individu bagi masalah kemurungan(depression), kerisauan(anxiety) dan juga tertekan(stress)]Nak cerita tentang masa aku sakit teruk tu, aku berhari hari tak boleh tidur",symptom
89, Menangis sendiri dalam gelap malam,symptom
90," Siang aku kerja macam biasa, urus anak-anak semua, tapi aku rasa seperti mayat hidup",symptom
91, Umpama zombie,statement
92," Malam aku menangis, nak tidur tapi gagal",symptom
93, Berlarutan seminggu,statement
94, Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak,risk factor
95, Satu malam tu aku rasa macam seluruh dunia bertimpa atas kepala,symptom
96, Segala flashback peristiwa dalam hidup terimbas,risk factor
97," Segala kesilapan kebodohan dalam hidup menerpa, all at once",risk factor
98," Esok paginya kebetulan cuti sebab anak belum dapat pengasuh, aku memandu tapi aku rasa macam bukan aku yang memandu",symptom
99," Aku bawa anak 1,2 dan 4",statement
100, Anak nombor tiga entah kenapa aku tinggalkan dengan suami,symptom
101," Suami ada masa tu dia tidur, tapi aku macam kena pukau antara sedar dan tak sedar, aku memandu ke rumah rakan sekerja lelaki yang paling buat aku stress kat tempat kerja",symptom
102,Aku tak tau kenapa aku ke situ,symptom
103," Isterinya keluar kerja, dia, 3 orang anaknya, (salah seorangnya kawan kelas anak aku), dan ibu mertua dia ada",statement
104, Lepas dia hidang minuman aku pun balik,statement
105, Menuju pula ke rumah kakak aku,statement
106," Sampai rumah kakak terus duduk rumah dia, dalam keadaan tak waras macam ada orang kawal badan aku",symptom
107, Mereka layan aku macam aku ni nak bunuh diorang pulak,risk factor
108,Lima hari duduk rumah kakak dengan anak-anak dan mak abah aku pun datang duduk nak jaga aku,statement
109," Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila",risk factor
110," Di angkat paksa mandi air limau, telinga aku disiram air, di hembus-hembus kakak dan abang ipar aku berlagak macam bomoh",statement
111,Panggil perawat tah siapa,statement
112, Aku tak perlukan semua tu,statement
113, Tapi dalam hati aku sentiasa ingat ni ujian Allah,statement
114,"Kawan(nurse) call suruh datang klinik jumpa doktor, doktor tanya-tanya dan bagi surat rujukan ke pakar psikiatri",statement
115," Begitulah kisah aku seorang ibu berkerjaya, pejuang MDD, dengan 4 anak kecil",statement
116,Dah bagitau dah yang aku ni tak reti mengarang,statement
117, Panjang cerita tapi aku ringkaskan,statement
118,Sebelum aku tamatkan tulisan ini,statement
119, Aku nak bagi panduan sikit kepada masyarakat:1,statement
120, Ibu berkerja perlu sokongan,statement
121,2,statement
122, Pengasuh yang baik,statement
123,3,statement
124, Majikan yang memahami,statement
125,4,statement
126, Suami yang mendengar dan memberi moral support,statement
127,5,statement
128," Cari kawan yang baik, bukan penghasut dan pendengki",statement
129,6,statement
130," Yang penting utama sekali, ingat Allah sentiasa",statement
131,Penulis: Ayna,statement
132, Saya merupakan seorang bekas doktor pelatih (houseman),statement
133, Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua,statement
134," Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang",statement
135,Saya mula bekerja sebagai doktor pelatih pada November 2018,statement
136," Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)",statement
137," Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri",statement
138, Alhamdulillah para senior banyak membantu,statement
139, Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu),statement
140, Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je,statement
141, Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya,statement
142,"Sewaktu saya tidur pada malamnya, saya tiba tiba terjaga pukul 3am dan tak boleh sambung tidur",symptom
143," Esoknya saya perlu masuk kerja pukul 6am, membuatkan saya stcress dan akhirnya saya menangis",symptom
144, Mungkin terlalu penat tetapi saya mulanya anggap ini perkara biasa,symptom
145, Tetapi malam itu menjadi kemuncak tekanan,symptom
146,"Saya buat solat sunat, cuba untuk menenangkan diri dan saya mengambil keputusan untuk memanggil Befrienders KL",statement
147," Ia merupakan sebuah organisasi yang mendengar masalah dan isu para pemanggil, terutamanya kemurungan dan suicidal thoughts",statement
148," Yelah, nak call orang lain pun, semua tengah tidur pukul 3 pagi",statement
149, Saya berbual dengan staf bertugas hampir sejam lamanya,statement
150, Alhamdulillah stafnya sangat lembut dan baik,statement
151,Beliau bertanya 1,statement
152, Boleh ceritakan apa yang terjadi 2,statement
153, Apa punca kepada isu ini 3,statement
154," Apa yang boleh saya lakukan – jujurnya waktu tu memang hanya nak berbual dengan seseorang, untuk lepaskan tekanan",statement
155, Tetapi pada masa yang sama saya terfikir untuk hadir ke klinik Psikiatrik untuk mengetahui sekiranya saya depressed,statement
156, Staf tersebut memberi saya nombor telefon klinik psikiatrik,statement
157,"Selepas berbual, saya rasa lebih lega tetapi saya tetap mengambil keputusan untuk hadir ke klinik Psikiatri",statement
158, Klinik Psikiatri di hospital saya boleh walk-in pada waktu pagi,statement
159,"Di sana, saya berjumpa doktor dan menceritakan masalah saya",statement
160," Badan terasa letih, berat dan minda tidak dapat fokus kepada perbualan atau aktiviti",symptom
161, Saya kurang suka melakukan aktiviti yang saya minati dahulu,symptom
162, Saya kurang makan dan banyak termenung,symptom
163, Fikiran saya selalu berfikir perkara negatif,symptom
164,"Setelah diamati, rupanya saya telah mengalami simptom ini sejak seminggu lepas, tetapi saya kurang ambil peduli dan fikir “biasalah baru mula kerja, penat tu biasa”",statement
165, Saya didiagnos sebagai Adjusment Disorder with depressive mood,statement
166," Saya diberi ubat Lorazepam (benzodiazepine) untuk tidur dan Mirtazapine (antidepressant), diberi MC selama seminggu dan dirujuk ke pakar psikiatrik (Kes melibatkan houseman dirujuk ke pakar)",statement
167, Mulanya ingatkan dapatlah MC sehari dua je tapi tak sangka pula sampai seminggu,statement
168,Senior dan supervisor juga memahami situasi saya setelah saya bercerita kepada mereka dan saya cuba berehat dan muhasabah,statement
169, Saya dapat tidur dengan bantuan ubat tetapi mood dan emosi saya masih depressed,medical history
170,"Setelah berjumpa doktor pakar pada lawatan seterusnya (setiap 2 minggu), saya didiagnos sebagai Major Depressive Disorder",medical history
171, Dos ubat Mirtazapine dinaikkan kerana saya tetap depressed dan emosi tetap sama,medical history
172," Selepas 2 minggu, saya ditukarkan ubat dengan Sertraline (SSRI – Selective Serotonin Reuptake Inhibitor)",medical history
173, Tetapi mood tetap juga depressed,symptom
174, Maka dos Sertraline dinaikkan pula,medical history
175,"Sepanjang waktu MC dan rawatan, saya duduk bersama keluarga",statement
176," Mereka sangat memahami dan menyokong, tidak pernah ada keluh kesah atau berputus asa dengan saya, terutamanya Mak",statement
177, Terima kasih atas keprihatinan dan kasih sayang keluarga,statement
178, Moga Allah membalas kebaikan mereka dengan rahmat dan rezekiNya di dunia dan akhirat,statement
179,"Pada bulan 3 rawatan, saya tetap belum pulih dan tetap mengalami depressed mood",medical history
180," Malah saya mula mengalami auditory hallucination, mula mendengar suara yang mengatakan saya tak berguna, lemah, bodoh dan kata kata negatif",symptom
181," Pada waktu ini saya diberi juga ubat antipsikotik (Aripiprazole) tetapi tetap sama, saya mendengar suara",symptom
182, Doktor mencadangkan saya dimasukkan ke wad kerana saya sudah dikira sebagai Severe Major Depressive Disorder dan memerlukan rawatan ECT (Electroconvulsive Therapy),medical history
183, Saya bersetuju kerana saya juga tahu rawatan ECT merupakan salah satu rawatan yang berkesan untuk severe type seperti yang saya alami,statement
184,"Semasa di wad, pelbagai jenis pesakit saya jumpa",statement
185," Ada yang bipolar, skizofrenia, depressed, aggressive",statement
186," Saya pernah menemui dan berbual dengan mereka sebagai pelajar perubatan dahulu, sekarang sebagai pesakit pula",statement
187," Antara perkara yang saya tak dapat lupa, para pesakit di situ sangat baik",statement
188, Ada seorang uncle ni siap bagi KFC drumstick dekat saya sebab dia kesian tengok saya murung kot,statement
189, Haha terima kasih uncle,statement
190,"Selama 2 minggu di wad, saya menjalani 4 sesi ECT",statement
191, Saya berpuasa pada malam sebelum ECT,statement
192," Esoknya, para pesakit dibawa ke bilik ECT",statement
193," Sewaktu rawatan, doktor akan bagi ubat bius supaya kita tidur dan ECT dijalankan sewaktu kita tidak sedar",statement
194, Arus elektrik bervoltan rendah dialirkan di sekitar kepala dan kita tidak rasa apa apa sebab dah tidur,statement
195," Jadi yang sakitnya pun sewaktu beri ubat bius (sakit sikit je) dan bangun bangun je dah ada atas katil, ada makanan terhidang",statement
196,"Tetapi mungkin akan rasa pening, sakit kepala, mual dan blur sedikit lepas bangun tidur, kesan ubat bius",statement
197," Tapi jangan risau, kesannya selalunya beberapa jam sahaja",statement
198, Nurse dan doktor akan memantau keadaan pesakit selepas ECT,statement
199," Sekiranya berlanjutan, doktor akan beri ubat bersesuaian dengan kesan yang kita alamiKawan kawan dan keluarga datang melawat",statement
200, Mereka juga nampak saya lebih ceria selepas sesi rawatan dan saya juga rasa lebih positif dan baik,statement
201, Doktor juga membenarkan saya keluar selepas lengkap rawatan ECT,statement
202, Ubat saya ditukar pula kepada Desvenlafaxine (juga anti-depressant) dan Aripiprazole untuk halusinasi,statement
203,"Pada waktu ini, Aripiprazole menyebabkan saya rasa resah",statement
204," Saya tidak boleh duduk diam di rumah dan bila hendak tidur, saya perlu menggunakan Lorazepam untuk tidur",statement
205," Selepas berbincang dengan doktor, saya tidak perlu lagi menggunakan Aripiprazole kerana halusinasi juga hilang sehingga hari ini",statement
206, Saya masih dalam rawatan (Desvenlafaxine) dan pemantauan doktor tetapi sekarang saya lebih ceria dan positif,statement
207, Saya kembali menjalani kehidupan normal sebelum saya sakit,statement
208," Saya sangat bersyukur dengan pertolongan doktor, keluarga dan kawan dalam proses pemulihan ini",statement
209,"Sekarang, saya telah meletakkan jawatan dan mencari peluang pekerjaan lain",statement
210, Mungkin rezeki saya di bidang perubatan setakat ini sahaja atau mungkin juga di lain masa,statement
211," Apa pun, hidup tetap perlu diteruskan",statement
212, Saya tidak pernah menyesal melalui pengalaman ini kerana ia menjadi satu bahagian dalam hidup saya yang bernilai,statement
213,"Ada masa kita jatuh terduduk, ada masa kita akan kembali bangkit lebih tinggi dari sebelumnya",statement
214," Saya percaya, satu pintu yang tertutup, ada pintu lain yang terbuka",statement
215," Dan akhirnya kita akan melalui jalan kehidupan yang lebih bahagia, asalkan kita terus berusaha",statement
216, Pelbagai pengajaran saya pelajari sewaktu tempoh depression ini antaranya :1,statement
217," Sekiranya emosi kita terganggu atau stress, luahkan pada orang yang kita rapat, kawan – kawan dan keluarga",medical history
218," Selalunya, sesi meluahkan perasaan amat membantu menstabilkan emosi",medical history
219," Sekiranya anda tidak selesa meluhkan pada kenalan, boleh cuba menghubungi Befrienders",statement
220, Mereka terlatih untuk mendengar isu dan masalah pemanggil dan tidak bersifat judgemental dengan isu kita,statement
221, 2,statement
222, Dapatkan rawatan di klinik kesihatan / pakar psikiatrik sekiranya masalah tetap berpanjangan,statement
223," Jangan sekali- kali merawat diri sendiri tanpa pemantauan doktor dan pakar bertauliah, dikhuatiri menyebabkan masalah lain pula",statement
224,3,statement
225," Sekiranya tidak serasi dengan ubatan atau ubat tidak memberikan kesan, berbincang dengan doktor pakar dan nyatakan dengan jujur",statement
226, Doktor akan cuba mengoptimumkan rawatan,statement
227, Sesetengah ubat memerlukan tempoh untuk berkesan dan berbeza tempoh kecepatan dan keberkesanan,statement
228, Jangan malu kerana ia boleh menganggu rawatan dan menyebabkan kita mudah berputus asa,statement
229, Hadir bersama ahli keluarga atau kawan agar mereka juga faham rawatan dan situasi kita,statement
230, Mungkin ahli keluarga dan kawan boleh mengajukan soalan kita kalau kita malu,statement
231, Pastikan anda faham rawatan dan arahan doktor,statement
232,4,statement
233, Banyakkan bersabar dan lakukan akitiviti yang mendatangkan keseronokan,statement
234, Bersenam merupakan aktiviti yang sangat membantu 5,statement
235, Jangan mudah menghukum orang pesakit pskiatrik,statement
236," Ada yang kata kena sihir, gangguan jin dan pelbagai lagi yang boleh menyebabkan pesakit bertambah murung",statement
237," Apa yang kita boleh lakukan adalah dengan memberi kata semangat, motivasi dan doa",statement
238,6,statement
239," Tidak dinafikan ada kes yang melibatkan gangguan alam ghaib tetapi pada masa yang sama, berikhtiarlah dengan perawat bertauliah, professional dan rawatan yang terbukti dikaji dan berkesan di peringkat kinikal",statement
240," Pendek kata, produk produk jualan di pasaran yang mendakwa boleh menyembuhkan penyakit psikiatrik mahupun fizikal adalah berkemungkinan besar merugikan duit dan tidak berkesan",statement
241," Sekalipun berkesan, mungkin jangka pendek sahaja dan penjual produk tidak ada follow-up dan guideline yang diiktiraf",statement
242," Para penjual produk, tolong jangan ambil kesempatan ke atas para pesakit untuk keuntungan semata ye",statement
243, Banyak orang cuba mencadangkan produk-produk ini kepada saya tetapi saya tidak mengambilnya,statement
244," Akta Perubatan melarang para penjual mengiklankan produk yang boleh menyembuhkan 20 jenis penyakit, salah satunya penyakit psikiatrik",statement
245,7,statement
246, Banyakkan berdoa,statement
247," Kepada yang Muslim, banyakkan solat sunat dan membaca Quran juga",statement
248," Apa pun pegangan anda, fokuskan kepada aspek positif untuk sembuh",statement
249, Ia mungkin sukar untuk dilakukan di peringkat awal depression kerana fikiran negatif akan selalu datang,statement
250," Di sinilah pentingnya kawan dan keluarga untuk memberi kata kata positif, semangat dan dorongan",statement
251,8,statement
252, Suicidal ideation (fikiran untuk membunuh diri) biasa berlaku kepada pesakit psikiatrik terutamanya depression,symptom
253, Amat penting untuk ahli keluarga dan rakan rakan mengenali simptom depression,statement
254, Saya banyak berfikir mengenai mati tetapi alhamdulillah tidak ke tahap suicidal ideation,statement
255, Suicidal attempt amat tinggi di kalangan wanita tetapi completed suicide lebih tinggi di kalangan lelaki,symptom
256," Apa pun, hidup ini penuh dugaan dan cabaran tetapi ia juga diisi dengan kebahagiaan untuk yang berusaha",statement
257, Doakan agar saya diluaskan rezeki saya di dalam apa jua bidang (mana tahu saya kembali ke bidang perubatan) dan moga kita semua selalu memberi dorongan dan motivasi kepada satu sama lain,statement
258," Terima kasih kerana membaca, moga ada manfaat untuk semua dan saya memohon maaf atas kekurangan penulisan saya",statement
259," Selamat berjuang dan percayalah, ada sinar harapan untuk kita semua 🙂 Penulis: F",statement
260, Ini kisah saya,statement
261, Saya menulis dalam keadaan masih dalam dilema tapi penuh dengan rasa happy,statement
262, Paling penting saya dah tak perlukan ssri ( antidepressant) untuk rasa betul betul gembira dengan hidup ini,statement
263, Alhamdulillah,statement
264, Dan ramadhan ini saya anggap satu platform untuk saya betul betul memohon dari Allah jalan mana yang perlu saya pilih untuk mencari rezeki,statement
265,Ya,statement
266, Saya masih lagi seorang houseman di sebuah hospital,statement
267, Tapi dalam dilema untuk resign,statement
268, Dalam masa kurang 2 tahun pengalaman housemanship saya,statement
269, Saya kehilangan tiga insan yang menjadi tulang belakang saya,risk factor
270,5 bulan bekerja atok saya meninggal di hospital sama saya bekerja,risk factor
271,8 bulan bekerja ayah saya meninggal di ccu juga di hospital sama saya bekerja,risk factor
272, Sayalah yang menghentikan cpr ayah saya sendiri yang dilakukan rakan sekerja saya,risk factor
273, Saya baru sebulan posting medical masa tu,statement
274, Dan tu adalah pengalaman cpr kali kedua untuk saya,risk factor
275,Betul betul saya hilang masa tu,risk factor
276, Saya MIA(missing in action bermaksud tidak datang kerja),risk factor
277, Didiagnos Major Depreasive Disorder,medical history
278, Ambil ubat,medical history
279, Saya pergi hospital tapi tak mampu masuk wad,medical history
280, Saya dikira MIA,medical history
281, Jadi gaji saya disekat,risk factor
282, Kemudian tahun yang sama nenek saya yang mengasuh dari kecil didiagnos kanser,risk factor
283, Masa tu sedikit motivasi untuk bekerja,statement
284, Beliau pun sedih dengan keadaan saya,risk factor
285, Jadi saya teruskan bekerja tanpa gaji selama 4 bulan,risk factor
286, Hinggalah nenek saya menghembuskan nafas terakhir 2bulan lepas,risk factor
287, Dalam masa tersebut saya terlalu faham bahawa bukan mudah untuk memjaga orang yang sakit terlantar,risk factor
288, Seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital,risk factor
289, Semua ni terlalu laju untuk saya,risk factor
290, Saya tak sempat nak rsa apa apa,risk factor
291,Saya cuma mampu menarik nafas panjang,symptom
292, Jujurnya saya redha dengan semua ni walaupun terlalu sukar,symptom
293, Cuma saya akan belajar redha juga jika menjadi seorang doktor bukan lagi rezeki saya,symptom
294, Semua yang jadi menyebabkan saya cepat jadi depressed,symptom
295, Pandangan saya tentang kehidupan banyak berubah,symptom
296, Apatah lagi sekarang ni saya cuma ada ibu dan adik adik saya,symptom
297,Salah ke kalau saya rasa nak resign sebab nak duduk dengan family je,symptom
298, Nak cari rezeki tapi nk family depan mata,symptom
299, Salah ke kalau saya taknak terlalu stress then depressed? Salah ke?Penulis:  Umaira,symptom
300,Assalamualaikum semua,statement
301, Nama aku Fezzul (bukan nama sebenar) umur aku dalam 22 tahun,statement
302, Aku nak cerita pengalaman aku apabila disahkan menghidap depresi dan kemurungan,statement
303,Okay aku ni boleh dikatakan budak cerdik juga la sebab UPSR dan PMR aku straight A,statement
304, Cuma SPM aku je dpt 6A tapi aku tetap bersyukur,statement
305, Then aku mohon la UPU untuk masuk universiti malangnya permohonan aku gagal,risk factor
306, Aku cuba buat rayuan dan keputusan still sama aku gagal,risk factor
307,Aku kecewa dan sedih la jugak sebab kawan2 semua smbung belajar masuk universiti,risk factor
308, Okay takpa la aku teruskan belajar dgn ambik STPM di sekolah dan Alhamdulilah aku berjaya grad dgn CGPA 3,statement
309,6 Aku berasa gembira sngat time tu,statement
310,Nak jadikan cerita lepastu aku dapat tawaran masuk universiti awam yang top la jugak di Malaysia dalam kos pendidikan,statement
311, Aku gembira sngat,statement
312, Nak jadikan cerita sebulan aku stay di sana aku rasa stress sangat sebab aku pi kelas naik bas,risk factor
313, Nak naik bas pula kena tunggu dan keadaan dalam bas tu sentiasa penuh dengan orang,risk factor
314,Aku pernah lewat kena marah dengan lecture sebab lambat datang kelas pada hari pertama sedangkan aku bukan tertidur ke sengaja datang lewat cuma bas tu dah penuh aku terpaksa tunggu bas lain datang pula la,risk factor
315, Dan universiti aku ni pula besar first time datang nak daftar dulu pon aku sesat tak jumpa jalan,statement
316,Macam2 terjadi dekat aku dekat sana,statement
317, Dalam sebulan tu jgak wifi universiti tak boleh nak connect dengan laptop aku,risk factor
318, Aku stress,symptom
319, Terpaksa pergi Pusat Teknologi maklumat jalan kaki jauh la jugak sebab nak settlekan masalah ni,risk factor
320,2 kali aku pergi ulang alik jalan kaki penat tau sampai ja sana terus berpeluh,statement
321, Aku bukan tak nak naik bus cuma aku tak tahu sama ada bus tu berhenti ke tidak kat pusat teknologi tu,statement
322, Daripada sesat aku ambik keputusan jalan kaki,statement
323,Dan apa yang malang lagi roomate aku pula jenis buat hal sendiri je,risk factor
324, Tak pernah nak ambil kisah pasal aku ni,symptom
325, Aku nak survive kat sini pon susah sebab aku tak ada kawan dan aku pula bukan jenis cepat bergaul dengan orang,statement
326,So memang susah la bagi aku nak survive kat universiti tambah pula dengan banyak esaimen dan grup wassap melibatkan universiti saja ada sampai 24 grup,statement
327, Mesej chat sentiasa masuk sampai aku rasa lemas,symptom
328,Semua ni buatkan aku stress overthinking dan sampai satu tahap aku tak boleh tidur malam,symptom
329, Otak aku tak berhenti berfikir dan aku serabut fikir banyak masalah sampai satu tahap aku keluar seorang pergi mall sebab nak release stress dan di situlah timbul satu idea nak bunuh diri,symptom
330, Time ni aku ada dekat mall tingkat atas dan aku dengar suara orang berbisik “best jugak kalau terjun ni”,symptom
331,Start dari situ aku dah tak boleh nak kawal diri aku,symptom
332, Aku rasa otak aku ni dah lost sekejap,symptom
333, Tapi aku tak layan perasaan macam tu,statement
334, Aku terus call parents kata depress rasa nak bunuh diri,symptom
335, Aku menangis dan aku cerita kat parents aku macam2 jadi dekat universiti sampai aku depress sangat,symptom
336,Dan malam tu jugak aku ambik keputusan nak balik rumah,statement
337, Sebab aku memang rasa ada yang pelik dengan diri aku,symptom
338, Aku tak macam aku yang selalu,symptom
339, Aku pon tak tahu macam mana aku boleh depress sampai tahap macam tu sekali,symptom
340, Aku bersyukur sebab akhirnya sampai juga rumah walaupon time tu otak aku dah tak betul,statement
341, Aku menangis teruk dan give up dengan life kat sana,symptom
342,Aku beritahu parents nak berhenti belajar,statement
343, Lepas je berhenti belajar aku kemurungan pula,symptom
344, Aku tak dak selera nak makan,symptom
345, Otak aku 24 jam fikir nak mati,symptom
346, Aku kecewa dengan diri sendiri sebab tak boleh nak survive kat universiti sedangkan antara goals aku adalah nak masuk universiti,symptom
347, Aku selalu rasa nak cederakan diri aku,symptom
348, Aku meroyan teruk,symptom
349, Dan aku tak boleh nak tidur malam,symptom
350,  Otak ni kalau tak dapat rest atau tidur secukupnya memang tak boleh nak fikir dengan waras,symptom
351, Dan smpai 3 hari aku tak mandi,symptom
352, Rasa betul2 hopeless,symptom
353, Dan 3 bulan tu juga aku tak keluar rumah sebab takut dengan orang sekeliling,symptom
