,raw text,train text,category
10," Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat","[('tetapi', 'SCONJ'), ('kalau', 'SCONJ'), ('orang', 'NOUN'), ('luar', 'ADJ'), ('tahu', 'VERB'), ('apa', 'PRON'), ('yang', 'PRON'), ('laku', 'VERB'), ('di', 'ADP'), ('dalam', 'ADP'), ('syarikat', 'NOUN')]",non-deppressive
11, Pasti mereka akan terkejut,"[('pasti', 'ADJ'), ('mereka', 'PRON'), ('akan', 'ADV'), ('kejut', 'VERB')]",non-deppressive
12," Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata","[('sebab', 'NOUN'), ('tiap', 'DET'), ('jaya', 'NOUN'), ('dan', 'CCONJ'), ('rekod', 'NOUN'), ('yang', 'PRON'), ('canang', 'VERB'), ('kepada', 'ADP'), ('orang', 'NOUN'), ('luar', 'NOUN'), ('semua', 'DET'), ('ada', 'VERB'), ('dusta', 'NOUN'), ('semata', 'NOUN')]",non-deppressive
13, Tiada yang benar langsung,"[('tiada', 'PART'), ('yang', 'PRON'), ('benar', 'NOUN'), ('langsung', 'ADJ')]",non-deppressive
14, Aku jadi staf pun malu sebenarnya,"[('aku', 'PRON'), ('jadi', 'VERB'), ('staf', 'NOUN'), ('pun', 'PART'), ('malu', 'NOUN'), ('benar', 'ADJ')]",non-deppressive
15, Malu giler kalau orang tahu,"[('malu', 'NOUN'), ('gi', 'VERB'), ('kalau', 'SCONJ'), ('orang', 'NOUN'), ('tahu', 'VERB')]",non-deppressive
16,Bos aku ni sangat sibuk,"[('bos', 'NOUN'), ('aku', 'PRON'), ('ini', 'DET'), ('sangat', 'ADV'), ('sibuk', 'ADJ')]",non-deppressive
17," Bagi dia, hidup perlu sentiasa bekerja","[('bagi', 'ADP'), ('dia', 'PRON'), ('hidup', 'NOUN'), ('perlu', 'ADV'), ('sentiasa', 'ADV'), ('kerja', 'VERB')]",risk factor
18, Tiada rehat,"[('tiada', 'ADV'), ('rehat', 'VERB')]",non-deppressive
19, Itulah yang diterapkan kepada kami,"[('itu', 'DET'), ('yang', 'PRON'), ('terap', 'VERB'), ('kepada', 'ADP'), ('kami', 'PRON')]",non-deppressive
20, Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur,"[('dia', 'PRON'), ('cukup', 'ADV'), ('pantang', 'VERB'), ('kalau', 'SCONJ'), ('staf', 'NOUN'), ('tidak', 'PART'), ('jawab', 'VERB'), ('telefon', 'NOUN'), ('walau', 'SCONJ'), ('masa', 'NOUN'), ('itu', 'DET'), ('ada', 'VERB'), ('waktu', 'NOUN'), ('tidur', 'VERB')]",risk factor
21," Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari","[('bagi', 'ADP'), ('dia', 'PRON'), ('waktu', 'NOUN'), ('tidur', 'ADJ'), ('ha', 'PROPN'), ('cukup', 'ADV'), ('dua', 'NUM'), ('tiga', 'NUM'), ('jam', 'NOUN'), ('sahaja', 'ADV'), ('tiap', 'DET'), ('hari', 'NOUN')]",risk factor
22,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,"[('dia', 'PRON'), ('akan', 'ADV'), ('lenting', 'VERB'), ('kalau', 'SCONJ'), ('staf', 'NOUN'), ('balik', 'NOUN'), ('rumah', 'NOUN'), ('lepas', 'ADP'), ('waktu', 'NOUN'), ('kerja', 'NOUN'), ('jam', 'NOUN'), ('enam', 'NUM'), ('petang', 'NOUN')]",risk factor
23, Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,"[('dia', 'PRON'), ('juga', 'ADV'), ('akan', 'ADV'), ('sentiasa', 'VERB'), ('panggil', 'VERB'), ('dan', 'CCONJ'), ('whatsapp', 'NOUN'), ('staf', 'NOUN'), ('masa', 'ADP'), ('hari', 'NOUN'), ('cuti', 'NOUN'), ('minggu', 'NOUN'), ('sabtu', 'PROPN'), ('dan', 'CCONJ'), ('ahad', 'NOUN')]",risk factor
24, Apatah lagi semasa Public Holiday,"[('apa', 'PRON'), ('lagi', 'ADV'), ('masa', 'ADP'), ('awam', 'ADJ'), ('cut', 'NOUN')]",non-deppressive
25," Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report","[('itu', 'DET'), ('ada', 'VERB'), ('masa', 'NOUN'), ('untuk', 'ADP'), ('kerja', 'VERB'), ('panggil', 'VERB'), ('mesyuarat', 'NOUN'), ('dan', 'CCONJ'), ('suruh', 'ADV'), ('datang', 'VERB'), ('ke', 'ADP'), ('rumah', 'NOUN'), ('hantar', 'VERB'), ('lapor', 'VERB')]",risk factor
26, Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,"[('bos', 'NOUN'), ('akan', 'ADV'), ('membebel', 'VERB'), ('kalau', 'SCONJ'), ('staf', 'NOUN'), ('nak', 'ADV'), ('ambil', 'VERB'), ('tahun', 'NOUN'), ('pergi', 'VERB'), ('mahupun', 'CCONJ'), ('pergi', 'VERB'), ('cut', 'VERB'), ('sama', 'ADP'), ('keluarga', 'NOUN')]",risk factor
27," Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya","[('tiap', 'DET'), ('kali', 'NOUN'), ('dia', 'PRON'), ('membebel', 'VERB'), ('aku', 'PRON'), ('akan', 'ADV'), ('rasa', 'NOUN'), ('aku', 'PRON'), ('ini', 'DET'), ('orang', 'DET'), ('yang', 'PRON'), ('ka', 'VERB'), ('yang', 'PRON'), ('te', 'VERB'), ('memmuflis', 'ADJ'), ('syarikat', 'NOUN'), ('sahaja', 'DET'), ('gaya', 'NOUN')]",symptom
28, Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia,"[('dia', 'PRON'), ('akan', 'ADV'), ('marah', 'VERB'), ('siapa', 'DET'), ('sahaja', 'ADV'), ('di', 'ADP'), ('dep', 'NOUN'), ('mata', 'NOUN'), ('dia', 'PRON'), ('kalau', 'SCONJ'), ('dapat', 'ADV'), ('tahu', 'VERB'), ('ada', 'VERB'), ('staf', 'NOUN'), ('yang', 'PRON'), ('cut', 'VERB'), ('walau', 'SCONJ'), ('dah', 'ADV'), ('dapat', 'VERB'), ('benar', 'NOUN'), ('dia', 'PRON')]",risk factor
29,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk","[('semenjak', 'ADP'), ('kerja', 'VERB'), ('deng', 'DET'), ('syarikat', 'NOUN'), ('ini', 'DET'), ('aku', 'PRON'), ('serang', 'VERB'), ('tres', 'NOUN'), ('dan', 'CCONJ'), ('murung', 'NOUN'), ('rana', 'SCONJ'), ('sikap', 'NOUN'), ('bos', 'NOUN'), ('yang', 'PRON'), ('buruk', 'ADJ')]",symptom
30," Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon","[('ia', 'PRON'), ('sampai', 'ADP'), ('jadi', 'VERB'), ('tahap', 'NOUN'), ('aku', 'PRON'), ('takut', 'VERB'), ('dengar', 'ADP'), ('telefon', 'NOUN'), ('dering', 'VERB'), ('cepat', 'ADJ'), ('cepat', 'ADJ'), ('aku', 'PRON'), ('akan', 'ADV'), ('jawab', 'VERB'), ('dan', 'CCONJ'), ('jantung', 'NOUN'), ('aku', 'PRON'), ('akan', 'ADV'), ('degup', 'VERB'), ('pantas', 'ADJ'), ('macam', 'ADP'), ('baru', 'ADV'), ('selesai', 'VERB'), ('lari', 'NOUN'), ('maraton', 'NOUN')]",symptom
31," Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang","[('kalau', 'SCONJ'), ('dengar', 'VERB'), ('bunyi', 'NOUN'), ('whatsapp', 'NOUN'), ('masuk', 'VERB'), ('pun', 'DET'), ('jantung', 'NOUN'), ('aku', 'PRON'), ('debar', 'ADJ'), ('debar', 'ADJ'), ('kencang', 'ADJ')]",symptom
32, Takut sangat kena marah,"[('takut', 'ADV'), ('sangat', 'ADV'), ('kena', 'VERB'), ('marah', 'ADJ')]",symptom
33, Takut sangat ada report yang salah atau task yang tak buat,"[('takut', 'NOUN'), ('sangat', 'ADV'), ('ada', 'VERB'), ('lapor', 'NOUN'), ('yang', 'PRON'), ('sa', 'NOUN'), ('atau', 'CCONJ'), ('tugas', 'NOUN'), ('yang', 'PRON'), ('tidak', 'PART'), ('buat', 'VERB')]",symptom
34,Sudah 2 tahun aku tak bercuti,"[('sudah', 'ADV'), ('dua', 'NUM'), ('tahun', 'NOUN'), ('aku', 'PRON'), ('tidak', 'PART'), ('cut', 'VERB')]",non-deppressive
35," Ya, aku memang ada dapat Annual Leave","[('ya', 'NOUN'), ('aku', 'PRON'), ('memang', 'ADV'), ('ada', 'VERB'), ('dapat', 'VERB'), ('tahun', 'NOUN'), ('pergi', 'VERB')]",non-deppressive
36, Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil,"[('tetapi', 'SCONJ'), ('aku', 'PRON'), ('sentiasa', 'ADV'), ('panggil', 'VERB'), ('masuk', 'VERB'), ('kerja', 'NOUN'), ('pada', 'ADP'), ('hari', 'NOUN'), ('cuti', 'NOUN'), ('yang', 'PRON'), ('aku', 'PRON'), ('hak', 'VERB'), ('untuk', 'ADP'), ('ambil', 'VERB')]",risk factor
37," Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik","[('apabila', 'SCONJ'), ('hujung', 'NOUN'), ('tahun', 'NOUN'), ('dan', 'CCONJ'), ('didapati', 'VERB'), ('cuti', 'NOUN'), ('aku', 'PRON'), ('sangat', 'ADV'), ('banyak', 'ADV'), ('bos', 'NOUN'), ('cakap', 'VERB'), ('aku', 'PRON'), ('tidak', 'PART'), ('urus', 'VERB'), ('hidup', 'NOUN'), ('aku', 'PRON'), ('dan', 'CCONJ'), ('cuti', 'NOUN'), ('aku', 'PRON'), ('deng', 'NOUN'), ('baik', 'ADJ')]",risk factor
38, Siap kena warning supaya tak buat lagi,"[('siap', 'ADJ'), ('kena', 'VERB'), ('amar', 'NOUN'), ('supaya', 'CCONJ'), ('tidak', 'PART'), ('buat', 'VERB'), ('lagi', 'ADV')]",risk factor
39, Oh ya! Warning letter ni adalah makanan harian bos aku,"[('oh', 'PART'), ('ya', 'PART'), ('amar', 'NOUN'), ('surat', 'NOUN'), ('ini', 'DET'), ('ada', 'VERB'), ('makan', 'NOUN'), ('hari', 'NOUN'), ('bos', 'NOUN'), ('aku', 'PRON')]",risk factor
40," Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR","[('asal', 'NOUN'), ('ada', 'VERB'), ('sahaja', 'ADV'), ('yang', 'PRON'), ('dia', 'PRON'), ('tidak', 'PART'), ('gemar', 'VERB'), ('deng', 'DET'), ('kami', 'PRON'), ('setepek', 'VERB'), ('amar', 'NOUN'), ('surat', 'NOUN'), ('kami', 'PRON'), ('akan', 'ADV'), ('terima', 'VERB'), ('daripada', 'ADP'), ('hari', 'NOUN')]",risk factor
41," Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni","[('setakat', 'ADP'), ('ini', 'DET'), ('itu', 'DET'), ('pingat', 'NOUN'), ('dan', 'CCONJ'), ('rekod', 'NOUN'), ('jaya', 'NOUN'), ('aku', 'PRON'), ('panjang', 'ADP'), ('kerja', 'VERB'), ('di', 'ADP'), ('syarikat', 'NOUN'), ('ini', 'DET')]",non-deppressive
42,"Semenjak tu, aku dah pasrah","[('semenjak', 'ADP'), ('itu', 'DET'), ('aku', 'PRON'), ('dah', 'ADV'), ('pasrah', 'ADJ')]",symptom
43, Tak berani nak ambil cuti langsung,"[('tidak', 'PART'), ('berani', 'ADJ'), ('nak', 'ADV'), ('ambil', 'VERB'), ('cuti', 'NOUN'), ('langsung', 'ADJ')]",symptom
44," Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan","[('walaupun', 'SCONJ'), ('ada', 'VERB'), ('cemas', 'NOUN'), ('dalam', 'ADP'), ('keluarga', 'NOUN'), ('semua', 'DET'), ('aku', 'PRON'), ('serah', 'VERB'), ('kepada', 'ADP'), ('adik', 'NOUN'), ('adik', 'NOUN'), ('untuk', 'ADP'), ('urus', 'NOUN')]",symptom
45," Bayangkan la, nak masak atau nak ke toilet pun aku takut","[('bayang', 'NOUN'), ('nak', 'ADP'), ('masak', 'VERB'), ('atau', 'CCONJ'), ('nak', 'ADV'), ('ke', 'ADP'), ('tandas', 'NOUN'), ('pun', 'ADV'), ('aku', 'PRON'), ('takut', 'VERB')]",symptom
46," Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting","[('sudah', 'ADV'), ('beberapa', 'DET'), ('tahun', 'NOUN'), ('ini', 'DET'), ('aku', 'PRON'), ('takut', 'VERB'), ('sangat', 'ADV'), ('nak', 'ADV'), ('masak', 'VERB'), ('di', 'ADP'), ('rumah', 'NOUN'), ('sebab', 'CCONJ'), ('risau', 'ADJ'), ('masa', 'ADP'), ('sibuk', 'ADJ'), ('masak', 'NOUN'), ('aku', 'PRON'), ('tidak', 'PART'), ('dengar', 'VERB'), ('bos', 'NOUN'), ('panggil', 'VERB'), ('atau', 'CCONJ'), ('tiba', 'VERB'), ('tiba', 'VERB'), ('bos', 'NOUN'), ('nak', 'ADP'), ('buat', 'VERB'), ('mesyuarat', 'NOUN')]",symptom
47, Aku rasa hidup aku sangat pathetic,"[('aku', 'PRON'), ('rasa', 'VERB'), ('hidup', 'NOUN'), ('aku', 'PRON'), ('sangat', 'ADV'), ('kasih', 'NOUN')]",symptom
48," Sedih!Kenapa aku tak tinggalkan je syarikat ni? Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti","[('sedih', 'ADJ'), ('kenapa', 'ADV'), ('aku', 'PRON'), ('tidak', 'PART'), ('tinggal', 'VERB'), ('sahaja', 'ADV'), ('syarikat', 'NOUN'), ('ini', 'DET'), ('jang', 'NOUN'), ('risau', 'ADJ'), ('aku', 'PRON'), ('tetap', 'ADV'), ('akan', 'ADV'), ('tinggal', 'VERB'), ('syarikat', 'NOUN'), ('ini', 'DET'), ('suat', 'DET'), ('hari', 'NOUN'), ('nanti', 'NOUN')]",non-deppressive
49, Tetapi selepas aku berjaya capai impian aku,"[('tetapi', 'SCONJ'), ('lepas', 'SCONJ'), ('aku', 'PRON'), ('jaya', 'VERB'), ('capai', 'VERB'), ('impi', 'NOUN'), ('aku', 'PRON')]",non-deppressive
50," Buat sementara ni, aku terpaksa bertahan","[('buat', 'ADP'), ('sementara', 'SCONJ'), ('ini', 'DET'), ('aku', 'PRON'), ('paksa', 'ADV'), ('tah', 'VERB')]",non-deppressive
51, Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi,"[('impi', 'NOUN'), ('aku', 'PRON'), ('insyaal', 'NOUN'), ('akan', 'ADV'), ('dapat', 'ADV'), ('capa', 'VERB'), ('dalam', 'ADP'), ('sedikit', 'ADV'), ('masa', 'NOUN'), ('lagi', 'ADV')]",non-deppressive
52, Banyak sudah kezaliman yang bos dah buat terhadap aku,"[('banyak', 'ADV'), ('sudah', 'ADV'), ('zalim', 'NOUN'), ('yang', 'PRON'), ('bos', 'NOUN'), ('dah', 'ADV'), ('buat', 'VERB'), ('hadap', 'ADP'), ('aku', 'PRON')]",risk factor
53," Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku","[('dia', 'PRON'), ('zalim', 'ADJ'), ('deng', 'PROPN'), ('masa', 'NOUN'), ('tidur', 'NOUN'), ('aku', 'PRON'), ('cuti', 'NOUN'), ('minggu', 'NOUN'), ('aku', 'PRON'), ('awam', 'ADJ'), ('cut', 'NOUN'), ('aku', 'PRON'), ('tahun', 'NOUN'), ('pergi', 'VERB'), ('aku', 'PRON')]",risk factor
54,"Aku tak pernah MC, tak pernah EL","[('aku', 'PRON'), ('tidak', 'PART'), ('mengaparna', 'VERB'), ('mc', 'NOUN'), ('tidak', 'PART'), ('mengaparna', 'VERB'), ('el', 'NOUN')]",non-deppressive
55, Bekerja 24/7 365,"[('kerja', 'VERB'), ('dua', 'NUM'), ('puluh', 'NUM'), ('empat', 'NUM'), ('per', 'ADP'), ('tujuh', 'NUM'), ('tiga', 'NUM'), ('ratus', 'NUM'), ('enam', 'NUM'), ('puluh', 'NUM'), ('lima', 'NUM')]",non-deppressive
56, Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat,"[('aku', 'PRON'), ('demam', 'ADJ'), ('pun', 'PART'), ('masih', 'ADV'), ('masuk', 'VERB'), ('jabat', 'NOUN'), ('dan', 'CCONJ'), ('tidak', 'PART'), ('berani', 'ADJ'), ('pergi', 'VERB'), ('klinik', 'NOUN'), ('untuk', 'ADP'), ('ambil', 'VERB'), ('ubat', 'NOUN')]",non-deppressive
57," Bukan aku saja, malah staf yang lain pun sama","[('bu', 'NOUN'), ('aku', 'PRON'), ('sahaja', 'ADV'), ('ma', 'ADV'), ('staf', 'NOUN'), ('yang', 'PRON'), ('lain', 'ADJ'), ('pun', 'ADV'), ('sama', 'ADJ')]",non-deppressive
58," Kalau MC, tetap kena buat kerja walau apa cara sekalipun","[('kalau', 'SCONJ'), ('mc', 'NOUN'), ('tetap', 'ADV'), ('kena', 'VERB'), ('buat', 'VERB'), ('kerja', 'NOUN'), ('walau', 'SCONJ'), ('apa', 'PRON'), ('cara', 'NOUN'), ('sekalipun', 'ADV')]",non-deppressive
59, Aku rasa aku staf yang baik,"[('aku', 'PRON'), ('rasa', 'VERB'), ('aku', 'PRON'), ('staf', 'NOUN'), ('yang', 'PRON'), ('baik', 'ADJ')]",non-deppressive
60, Tapi masih tak cukup bagus untuk dia,"[('tetapi', 'CCONJ'), ('masih', 'ADV'), ('tidak', 'PART'), ('cukup', 'ADV'), ('bagus', 'ADJ'), ('untuk', 'ADP'), ('dia', 'PRON')]",non-deppressive
61, Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia,"[('aku', 'PRON'), ('sangat', 'ADV'), ('komited', 'ADJ'), ('deng', 'ADP'), ('kerjaya', 'NOUN'), ('dan', 'CCONJ'), ('aku', 'PRON'), ('tinggal', 'VERB'), ('keluarga', 'NOUN'), ('aku', 'PRON'), ('demi', 'ADP'), ('keluarga', 'NOUN'), ('dia', 'PRON')]",non-deppressive
62, Bos aku sangat family oriented,"[('bos', 'NOUN'), ('aku', 'PRON'), ('sangat', 'ADV'), ('keluarga', 'NOUN'), ('oriented', 'NOUN')]",non-deppressive
63," Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia","[('keluarga', 'NOUN'), ('oriented', 'NOUN'), ('bos', 'NOUN'), ('aku', 'PRON'), ('ini', 'DET'), ('maksud', 'VERB'), ('staf', 'NOUN'), ('ada', 'VERB'), ('hakmilik', 'NOUN'), ('kal', 'VERB'), ('dia', 'PRON'), ('yang', 'PRON'), ('wajib', 'ADV'), ('ada', 'VERB'), ('dalam', 'ADP'), ('tiap', 'DET'), ('majlis', 'NOUN'), ('keluarga', 'NOUN'), ('dia', 'PRON')]",non-deppressive
64," Kalau ada yang tak hadir, siaplah, kena marah","[('kalau', 'SCONJ'), ('ada', 'VERB'), ('yang', 'PRON'), ('tidak', 'PART'), ('hadir', 'VERB'), ('siap', 'ADV'), ('kena', 'VERB'), ('marah', 'ADJ')]",risk factor
65,Gaji? Kat sini gaji basic saja,"[('gaji', 'NOUN'), ('dekat', 'ADJ'), ('sini', 'ADP'), ('gaji', 'NOUN'), ('asas', 'NOUN'), ('sahaja', 'ADV')]",non-deppressive
66, Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni,"[('double', 'NOUN'), ('bayar', 'VERB'), ('atau', 'CCONJ'), ('triple', 'NOUN'), ('bayar', 'NOUN'), ('jika', 'SCONJ'), ('kerja', 'VERB'), ('masa', 'ADP'), ('cuti', 'NOUN'), ('atau', 'CCONJ'), ('lepas', 'ADV'), ('kerja', 'VERB'), ('hours', 'NOUN'), ('itu', 'DET'), ('memang', 'ADV'), ('tidak', 'PART'), ('wujud', 'VERB'), ('dalam', 'ADP'), ('kamus', 'NOUN'), ('syarikat', 'NOUN'), ('ini', 'DET')]",non-deppressive
67," Kalau minta, memang kena reject saja","[('kalau', 'SCONJ'), ('minta', 'VERB'), ('memang', 'ADV'), ('kena', 'ADV'), ('tolak', 'VERB'), ('sahaja', 'ADV')]",non-deppressive
68," Paling best, sampai sekarang aku takde offer letter","[('paling', 'ADV'), ('baik', 'ADJ'), ('sampai', 'ADP'), ('sekarang', 'NOUN'), ('aku', 'PRON'), ('tiada', 'PART'), ('tawar', 'ADJ'), ('surat', 'NOUN')]",non-deppressive
69, Amacam?Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang,"[('amacam', 'NOUN'), ('kamu', 'PRON'), ('semua', 'DET'), ('doa', 'NOUN'), ('aku', 'PRON'), ('dapat', 'VERB'), ('kerjaya', 'NOUN'), ('yang', 'PRON'), ('lebih', 'ADV'), ('baik', 'ADJ'), ('daripada', 'ADP'), ('apa', 'PRON'), ('yang', 'PRON'), ('aku', 'PRON'), ('ada', 'VERB'), ('sekarang', 'NOUN')]",non-deppressive
70, Aku bertahan ni pun sebab nak gaji yang seciput tu je,"[('aku', 'PRON'), ('tah', 'VERB'), ('ini', 'DET'), ('pun', 'PART'), ('sebab', 'ADP'), ('nak', 'VERB'), ('gaji', 'NOUN'), ('yang', 'PRON'), ('sedikit', 'ADV'), ('itu', 'DET'), ('sahaja', 'ADV')]",non-deppressive
71, Sambil cari lubang kerja lain,"[('sambil', 'ADP'), ('cari', 'VERB'), ('lubang', 'NOUN'), ('kerja', 'NOUN'), ('lain', 'ADJ')]",non-deppressive
72," Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah","[('bos', 'NOUN'), ('aku', 'PRON'), ('cakap', 'VERB'), ('kalau', 'SCONJ'), ('nak', 'ADV'), ('cari', 'VERB'), ('kerja', 'NOUN'), ('di', 'ADP'), ('musim', 'NOUN'), ('covid', 'NOUN'), ('ini', 'DET'), ('memang', 'ADV'), ('payah', 'ADJ')]",non-deppressive
73," Tapi aku percaya, Allah kan Maha Memberi Rezeki","[('tetapi', 'SCONJ'), ('aku', 'PRON'), ('percaya', 'VERB'), ('allah', 'PROPN'), ('kan', 'PART'), ('maha', 'ADV'), ('beri', 'VERB'), ('rezeki', 'NOUN')]",non-deppressive
74," InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner","[('insyaal', 'NOUN'), ('aku', 'PRON'), ('juga', 'ADV'), ('percaya', 'VERB'), ('allah', 'NOUN'), ('akan', 'ADV'), ('balas', 'VERB'), ('zalim', 'NOUN'), ('bos', 'NOUN'), ('hadap', 'ADP'), ('kami', 'PRON'), ('ini', 'DET'), ('lebih', 'ADV'), ('cepat', 'ADJ'), ('atau', 'CCONJ'), ('lebih', 'ADV'), ('cepat', 'ADJ')]",non-deppressive
75," Hakikatnya, ia dah pun berlaku terhadap syarikat ni","[('hakikat', 'NOUN'), ('ia', 'PRON'), ('dah', 'ADV'), ('pun', 'PART'), ('laku', 'VERB'), ('hadap', 'ADP'), ('syarikat', 'NOUN'), ('ini', 'DET')]",non-deppressive
