,raw text,clean text
31," Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang","kalau dengar bunyi whatsapp masuk pun , jantung aku berdebar - debar kencang"
32, Takut sangat kena marah,takut sangat kena marah
33, Takut sangat ada report yang salah atau task yang tak buat,takut sangat ada lapor yang sa atau tugas yang tidak buat
34,Sudah 2 tahun aku tak bercuti,sudah dua tahun aku tidak bercuti
35," Ya, aku memang ada dapat Annual Leave","ya , aku memang ada dapat tahun pergi"
36, Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil,tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil
37," Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik","apabila hujung tahun dan didapati cuti aku sangat banyak , bos cakap aku tidak urus hidup aku dan cuti aku deng baik"
38, Siap kena warning supaya tak buat lagi,siap kena amar supaya tidak buat lagi
39, Oh ya! Warning letter ni adalah makanan harian bos aku,oh ya ! amar surat ini ada makan hari bos aku
40," Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR","asal ada sahaja yang dia tidak gemar deng kami , setepek amar surat kami akan terima daripada <allcaps> hari </allcaps>"
41," Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni","setakat ini , itu  pingat dan rekod kejaya aku sepanjang bekerja di syarikat ini"
42,"Semenjak tu, aku dah pasrah","semenjak itu , aku dah pasrah"
43, Tak berani nak ambil cuti langsung,tidak berani nak ambil cuti langsung
44," Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan","walaupun ada kecemas dalam keluarga , semua aku serah kepada adik beradik untuk urus"
45," Bayangkan la, nak masak atau nak ke toilet pun aku takut","bayang  , nak masak atau nak ke tandas pun aku takut"
46," Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting","sudah beberapa tahun ini , aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak , aku tidak dengar bos panggil atau tiba - tiba bos nak buat mesyuarat"
47, Aku rasa hidup aku sangat pathetic,aku rasa hidup aku sangat kasih
48," Sedih!Kenapa aku tak tinggalkan je syarikat ni? Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti","sedih ! kenapa aku tidak tinggal sahaja syarikat ini ? jang risau , aku tetap akan tinggal syarikat ini suatu hari nanti"
49, Tetapi selepas aku berjaya capai impian aku,tetapi selepas aku berjaya capai impi aku
50," Buat sementara ni, aku terpaksa bertahan","buat sementara ini , aku terpaksa bertah"
51, Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi,impi aku insyaal  akan dapat dicapai dalam sedikit masa lagi
52, Banyak sudah kezaliman yang bos dah buat terhadap aku,banyak sudah kezalim yang bos dah buat terhadap aku
53," Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku","dia zalim deng masa tidur aku , cuti minggu aku , awam percuti aku , tahun pergi aku"
54,"Aku tak pernah MC, tak pernah EL","aku tidak mengaparna mc , tidak mengaparna el"
55, Bekerja 24/7 365,bekerja dua puluh empat per tujuh tiga ratus enam puluh lima
56, Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat,aku demam pun masih masuk pejabat dan tidak berani pergi klinik untuk ambil ubat
57," Bukan aku saja, malah staf yang lain pun sama","bu aku sahaja , ma staf yang lain pun sama"
58," Kalau MC, tetap kena buat kerja walau apa cara sekalipun","kalau mc , tetap kena buat kerja walau apa cara sekalipun"
59, Aku rasa aku staf yang baik,aku rasa aku staf yang baik
60, Tapi masih tak cukup bagus untuk dia,tetapi masih tidak cukup bagus untuk dia
61, Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia,aku sangat komited deng kerjaya dan aku tinggal keluarga aku demi keluarga dia
62, Bos aku sangat family oriented,bos aku sangat keluarga oriented
63," Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia","keluarga oriented bos aku ini bermaksud , staf ada hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia"
64," Kalau ada yang tak hadir, siaplah, kena marah","kalau ada yang tidak hadir , siap  , kena marah"
65,Gaji? Kat sini gaji basic saja,gaji ? dekat sini gaji asas sahaja
66, Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni,double bayar atau triple bayar jika bekerja semasa cuti atau selepas bekerja hours itu memang tidak wujud dalam kamus syarikat ini
67," Kalau minta, memang kena reject saja","kalau meminta , memang kena menolak sahaja"
68," Paling best, sampai sekarang aku takde offer letter","paling terbaik , sampai sekarang aku tiada tawar surat"
69, Amacam?Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang,amacam ? kamu semua doa  aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang
70, Aku bertahan ni pun sebab nak gaji yang seciput tu je,aku bertah ini pun sebab nak gaji yang sedikit itu sahaja
71, Sambil cari lubang kerja lain,sambil cari lubang kerja lain
72," Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah","bos aku cakap , kalau nak cari kerja di musim <allcaps> covid </allcaps> ini , memang payah"
73," Tapi aku percaya, Allah kan Maha Memberi Rezeki","tetapi aku percaya , allah kan maha memberi rezeki"
74," InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner","insyaal , aku juga percaya , allah akan balas kezalim bos terhadap kami ini lebih cepat atau lebih cepat"
75," Hakikatnya, ia dah pun berlaku terhadap syarikat ni","hakikat , ia dah pun berlaku terhadap syarikat ini"
76, Aku sangat bersyukur,aku sangat bersyukur
77," Dengan setiap cabaran yang bos dan syarikat tanggung sekarang, bos dah mula tahu bercakap guna bahasa yang baik dan belajar minta maaf dengan kami","deng setiap cabar yang bos dan syarikat tanggung sekarang , bos dah mula tahu bercakap guna bahasa yang baik dan belajar meminta maaf deng kami"
78, Cuma dia masih tak boleh buang tabiat buruk bab menipu kepada masyarakat,cuma dia masih tidak boleh buang tabiat buruk bab menipu kepada masyarakat
79," Kalau sebelum ni, maki hamun adalah zikir harian dia kepada kami","kalau sebelum ini , maki hamun ada zikir hari dia kepada kami"
80," Setakat ayat “bodoh”, “takde otak”, “pemalas” tu, bagi aku ayat biasa macam mak-mak pujuk anak nak tidur","setakat ayat "" bodoh "" , "" tiada otak "" , "" pemalas "" itu , bagi aku ayat biasa macam mak - mak pujuk anak nak tidur"
81, Dah lali,dah lali
82,,nan
83,"Banyak nak ceritakan, tapi aku bukan seorang yang pandai mengarang","banyak nak cerita , tetapi aku bu seorang yang pandai mengarang"
84," Aku ini seorang yang pendiam, jarang berbual kecuali dengan orang yang rapat","aku ini seorang yang pendiam , jarang berbual kecuali deng orang yang rapat"
85, Aku ibu dengan 4 orang anak,aku ibu deng empat orang anak
86, Doktor diagnos aku dengan depression(Kemurungan) sejak januari 2014,doktor diagnosa aku deng kemurung ( kemurung ) sejak <date>
87, Ujian DASS memang dah teruk sejak beberapa tahun sebelum tu tapi tak dapatkan rawatan,uji <allcaps> dass </allcaps> memang dah teruk sejak beberapa tahun sebelum itu tetapi tidak dapat rawat
88,"[Ujian DASS digunakan untuk menyaring seseorang individu bagi masalah kemurungan(depression), kerisauan(anxiety) dan juga tertekan(stress)]Nak cerita tentang masa aku sakit teruk tu, aku berhari hari tak boleh tidur","[ uji <allcaps> dass </allcaps> diguna untuk mennyaring seseorang individu bagi masa kemurung ( kemurung ) , kerisau ( kebimbang ) dan juga terte ( stres ) ] nak cer tentang masa aku sakit teruk itu , aku berhari hari tidak boleh tidur"
89, Menangis sendiri dalam gelap malam,menangis sendiri dalam gelap malam
90," Siang aku kerja macam biasa, urus anak-anak semua, tapi aku rasa seperti mayat hidup","siang aku kerja macam biasa , urus anak - anak semua , tetapi aku rasa seperti mayat hidup"
91, Umpama zombie,umpama zombie
92," Malam aku menangis, nak tidur tapi gagal","malam aku menangis , nak tidur tetapi gagal"
93, Berlarutan seminggu,berlarut seminggu
94, Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak,masa itu aku buntu sebab ada masa deng penasuh anak - anak
95, Satu malam tu aku rasa macam seluruh dunia bertimpa atas kepala,satu malam itu aku rasa macam seluruh dunia bertimpa atas kepala
96, Segala flashback peristiwa dalam hidup terimbas,segala flashback peristiwa dalam hidup terimbas
97," Segala kesilapan kebodohan dalam hidup menerpa, all at once","segala kesilap kebodoh dalam hidup menterpa , al pada once"
98," Esok paginya kebetulan cuti sebab anak belum dapat pengasuh, aku memandu tapi aku rasa macam bukan aku yang memandu","esok pagi kebetul cuti sebab anak belum dapat penasuh , aku memandu tetapi aku rasa macam bu aku yang memandu"
99," Aku bawa anak 1,2 dan 4",aku bawa anak dua belas dan empat
100, Anak nombor tiga entah kenapa aku tinggalkan dengan suami,anak nombor tiga en kenapa aku tinggal deng suami
101," Suami ada masa tu dia tidur, tapi aku macam kena pukau antara sedar dan tak sedar, aku memandu ke rumah rakan sekerja lelaki yang paling buat aku stress kat tempat kerja","suami ada masa itu dia tidur , tetapi aku macam kena pukau antara sedar dan tidak sedar , aku memandu ke rumah rakan sekerja lelaki yang paling buat aku tres dekat tempat kerja"
102,Aku tak tau kenapa aku ke situ,aku tidak tahu kenapa aku ke situ
103," Isterinya keluar kerja, dia, 3 orang anaknya, (salah seorangnya kawan kelas anak aku), dan ibu mertua dia ada","isteri keluar kerja , dia , tiga orang anak , ( sa seorang ka kelas anak aku ) , dan ibu mertua dia ada"
104, Lepas dia hidang minuman aku pun balik,lepas dia hidang minum aku pun balik
105, Menuju pula ke rumah kakak aku,menuju pula ke rumah kakak aku
106," Sampai rumah kakak terus duduk rumah dia, dalam keadaan tak waras macam ada orang kawal badan aku","sampai rumah kakak terus duduk rumah dia , dalam keada tidak waras macam ada orang kawal badan aku"
107, Mereka layan aku macam aku ni nak bunuh diorang pulak,mereka lay aku macam aku ini nak bunuh mereka pula
108,Lima hari duduk rumah kakak dengan anak-anak dan mak abah aku pun datang duduk nak jaga aku,lima hari duduk rumah kakak deng anak - anak dan mak abah aku pun datang duduk nak jaga aku
109," Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila","lepas lima hari aku pujuk suami aku tolong  bawa kami balik , duduk rumah kakak aku di lay macam orang gila"
110," Di angkat paksa mandi air limau, telinga aku disiram air, di hembus-hembus kakak dan abang ipar aku berlagak macam bomoh","di angkat paksa mandi udara limau , telinga aku disiram udara , di hembus - hembus kakak dan abang ipar aku berlagak macam bomoh"
111,Panggil perawat tah siapa,panggil perawat  siapa
112, Aku tak perlukan semua tu,aku tidak mengaparlu semua itu
113, Tapi dalam hati aku sentiasa ingat ni ujian Allah,tetapi dalam hati aku sentiasa ingat ini uji allah
114,"Kawan(nurse) call suruh datang klinik jumpa doktor, doktor tanya-tanya dan bagi surat rujukan ke pakar psikiatri","ka ( jururawat ) panggil suruh datang klinik jumpa doktor , doktor tanya - tanya dan bagi surat ruju ke pakar psikiatri"
115," Begitulah kisah aku seorang ibu berkerjaya, pejuang MDD, dengan 4 anak kecil","begitu kisah aku seorang ibu berkerjaya , pejuang <allcaps> mdd </allcaps> , deng empat anak kecil"
116,Dah bagitau dah yang aku ni tak reti mengarang,dah begitu dah yang aku ini tidak reti mengarang
117, Panjang cerita tapi aku ringkaskan,panjang cer tetapi aku ringkas
118,Sebelum aku tamatkan tulisan ini,sebelum aku tamat tulisan ini
119, Aku nak bagi panduan sikit kepada masyarakat:1,aku nak bagi pandu sikit kepada masyarakat : satu
120, Ibu berkerja perlu sokongan,ibu berkerja perlu sokong
121,2,dua
122, Pengasuh yang baik,pengasuh yang baik
123,3,tiga
124, Majikan yang memahami,maji yang memahami
125,4,empat
126, Suami yang mendengar dan memberi moral support,suami yang mendengar dan memberi moral sokong
127,5,lima
128," Cari kawan yang baik, bukan penghasut dan pendengki","cari ka yang baik , bu penhasut dan pendengki"
129,6,enam
130," Yang penting utama sekali, ingat Allah sentiasa","yang penting utama sekali , ingat allah sentiasa"
131,Penulis: Ayna,penulis : ayna
132, Saya merupakan seorang bekas doktor pelatih (houseman),saya merupa seorang bekas doktor pelatih ( houseman )
133, Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua,cer ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua
134," Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang","cer ini mungkin panjang bersahaja  , mohon dibaca sewaktu lapang dan maaf sekira ada kekurang dari segi bahasa atau terlepas pandang"
135,Saya mula bekerja sebagai doktor pelatih pada November 2018,saya mula bekerja sebagai doktor pelatih pada <date>
136," Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)","waktu itu , saya memula tagging ( tempoh waktu para pelatih menyesuai diri deng sistem kerja di wad )"
137," Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri","pelbagai prosedur , sistem , cara merujuk kes mesti dipelajari deng cepat agar pantas menyesuai diri"
138, Alhamdulillah para senior banyak membantu,alhamdulil para senior banyak membantu
139, Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu),saya masuk kerja pukul <time> dan balik <time> untuk dua minggu berturut ( balik kerja pukul <time> pada hujung minggu )
140, Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je,saya menetap di asrama hospital jadi nak pergi wad jal kaki sahaja
141, Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya,semua okey pada mula tetapi pada minggu kedua saya mula berasa kelain pada diri saya
142,"Sewaktu saya tidur pada malamnya, saya tiba tiba terjaga pukul 3am dan tak boleh sambung tidur","sewaktu saya tidur pada malam , saya tiba tiba terjaga pukul <time> dan tidak boleh sambung tidur"
143," Esoknya saya perlu masuk kerja pukul 6am, membuatkan saya stcress dan akhirnya saya menangis","esok saya perlu masuk kerja pukul <time> , membuat saya stcress dan akhir saya menangis"
144, Mungkin terlalu penat tetapi saya mulanya anggap ini perkara biasa,mungkin terlalu penat tetapi saya mula anggap ini perkara biasa
145, Tetapi malam itu menjadi kemuncak tekanan,tetapi malam itu menjadi kemuncak tekan
146,"Saya buat solat sunat, cuba untuk menenangkan diri dan saya mengambil keputusan untuk memanggil Befrienders KL","saya buat solat sunat , cuba untuk menang diri dan saya mengambil keputus untuk memanggil befrienders <allcaps> kuala lumpur </allcaps>"
147," Ia merupakan sebuah organisasi yang mendengar masalah dan isu para pemanggil, terutamanya kemurungan dan suicidal thoughts","ia merupa sebuah organisasi yang mendengar masa dan isu para pemanggil , terutama kemurung dan bunuh diri thoughts"
148," Yelah, nak call orang lain pun, semua tengah tidur pukul 3 pagi","ye , nak panggil orang lain pun , semua tengah tidur pukul tiga pagi"
149, Saya berbual dengan staf bertugas hampir sejam lamanya,saya berbual deng staf bertugas hampir sejam lama
150, Alhamdulillah stafnya sangat lembut dan baik,alhamdulil staf sangat lembut dan baik
151,Beliau bertanya 1,beliau berta satu
152, Boleh ceritakan apa yang terjadi 2,boleh cerita apa yang terjadi dua
153, Apa punca kepada isu ini 3,apa punca kepada isu ini tiga
154," Apa yang boleh saya lakukan – jujurnya waktu tu memang hanya nak berbual dengan seseorang, untuk lepaskan tekanan","apa yang boleh saya laku – jujur waktu itu memang ha nak berbual deng seseorang , untuk lepas tekan"
155, Tetapi pada masa yang sama saya terfikir untuk hadir ke klinik Psikiatrik untuk mengetahui sekiranya saya depressed,tetapi pada masa yang sama saya terfikir untuk hadir ke klinik psikiatrik untuk mengetahui sekira saya terte
156, Staf tersebut memberi saya nombor telefon klinik psikiatrik,staf tersebut memberi saya nombor telefon klinik psikiatri
157,"Selepas berbual, saya rasa lebih lega tetapi saya tetap mengambil keputusan untuk hadir ke klinik Psikiatri","selepas berbual , saya rasa lebih lega tetapi saya tetap mengambil keputus untuk hadir ke klinik psikiatri"
158, Klinik Psikiatri di hospital saya boleh walk-in pada waktu pagi,klinik psikiatri di hospital saya boleh walk - masuk pada waktu pagi
159,"Di sana, saya berjumpa doktor dan menceritakan masalah saya","di sana , saya berjumpa doktor dan mencerita masa saya"
160," Badan terasa letih, berat dan minda tidak dapat fokus kepada perbualan atau aktiviti","badan terasa letih , berat dan minda tidak dapat fokus kepada perbual atau aktiviti"
161, Saya kurang suka melakukan aktiviti yang saya minati dahulu,saya kurang suka melaku aktiviti yang saya minit dahulu
162, Saya kurang makan dan banyak termenung,saya kurang ma dan banyak termenung
163, Fikiran saya selalu berfikir perkara negatif,pikir saya selalu berpikir perkara negatif
164,"Setelah diamati, rupanya saya telah mengalami simptom ini sejak seminggu lepas, tetapi saya kurang ambil peduli dan fikir “biasalah baru mula kerja, penat tu biasa”","sete diamati , rupa saya te mengalami simptom ini sejak seminggu lepas , tetapi saya kurang ambil peduli dan fikir "" biasa  baru mula kerja , penat itu biasa """
165, Saya didiagnos sebagai Adjusment Disorder with depressive mood,saya diagnosa sebagai adjusment ganggu deng kemurung mod
166," Saya diberi ubat Lorazepam (benzodiazepine) untuk tidur dan Mirtazapine (antidepressant), diberi MC selama seminggu dan dirujuk ke pakar psikiatrik (Kes melibatkan houseman dirujuk ke pakar)","saya diberi ubat lorazepam ( benzodiazepina ) untuk tidur dan mirtazapine ( antidepressant ) , diberi mc selama seminggu dan dirujuk ke pakar psikiatri ( kes melibat houseman dirujuk ke pakar )"
167, Mulanya ingatkan dapatlah MC sehari dua je tapi tak sangka pula sampai seminggu,mula ingat dapat mc sehari dua sahaja tetapi tidak sangka pula sampai seminggu
168,Senior dan supervisor juga memahami situasi saya setelah saya bercerita kepada mereka dan saya cuba berehat dan muhasabah,senior dan penyelia juga memahami situasi saya sete saya bercer kepada mereka dan saya cuba berrehat dan muhasabah
169, Saya dapat tidur dengan bantuan ubat tetapi mood dan emosi saya masih depressed,saya dapat tidur deng bantu ubat tetapi mod dan emosi saya masih terte
170,"Setelah berjumpa doktor pakar pada lawatan seterusnya (setiap 2 minggu), saya didiagnos sebagai Major Depressive Disorder","sete berjumpa doktor pakar pada lawat seterus ( setiap dua minggu ) , saya diagnosa sebagai utama kemurung ganggu"
171, Dos ubat Mirtazapine dinaikkan kerana saya tetap depressed dan emosi tetap sama,dos ubat mirtazapine dinaik kerana saya tetap terte dan emosi tetap sama
172," Selepas 2 minggu, saya ditukarkan ubat dengan Sertraline (SSRI – Selective Serotonin Reuptake Inhibitor)","selepas dua minggu , saya ditukar ubat deng sertraline ( <allcaps> ssri </allcaps> – selektif serotonin reuptake perencat )"
173, Tetapi mood tetap juga depressed,tetapi mod tetap juga terte
174, Maka dos Sertraline dinaikkan pula,maka dos sertraline dinaik pula
175,"Sepanjang waktu MC dan rawatan, saya duduk bersama keluarga","sepanjang waktu mc dan rawat , saya duduk bersama keluarga"
176," Mereka sangat memahami dan menyokong, tidak pernah ada keluh kesah atau berputus asa dengan saya, terutamanya Mak","mereka sangat memahami dan menyokong , tidak pernah ada keluh kisah atau berputus sebagai deng saya , terutama mak"
177, Terima kasih atas keprihatinan dan kasih sayang keluarga,terima kasih atas keprihatin dan kasih sayang keluarga
178, Moga Allah membalas kebaikan mereka dengan rahmat dan rezekiNya di dunia dan akhirat,moga allah membalas kebai mereka deng rahmat dan rezeki di dunia dan akhirat
179,"Pada bulan 3 rawatan, saya tetap belum pulih dan tetap mengalami depressed mood","pada bul tiga rawat , saya tetap belum pulih dan tetap mengalami terte mod"
180," Malah saya mula mengalami auditory hallucination, mula mendengar suara yang mengatakan saya tak berguna, lemah, bodoh dan kata kata negatif","ma saya mula mengalami pendengar halusinasi , mula mendengar suara yang mengata saya tidak berguna , lemah , bodoh dan kata kata negatif"
181," Pada waktu ini saya diberi juga ubat antipsikotik (Aripiprazole) tetapi tetap sama, saya mendengar suara","pada waktu ini saya diberi juga ubat antipsikotik ( aripiprazole ) tetapi tetap sama , saya mendengar suara"
182, Doktor mencadangkan saya dimasukkan ke wad kerana saya sudah dikira sebagai Severe Major Depressive Disorder dan memerlukan rawatan ECT (Electroconvulsive Therapy),doktor mencadang saya dimasuk ke wad kerana saya sudah dikira sebagai teruk utama kemurung ganggu dan memerlu rawat <allcaps> ect </allcaps> ( electroconvulsive therapy )
183, Saya bersetuju kerana saya juga tahu rawatan ECT merupakan salah satu rawatan yang berkesan untuk severe type seperti yang saya alami,saya bersetuju kerana saya juga tahu rawat <allcaps> ect </allcaps> merupa sa satu rawat yang berkes untuk teruk jenis seperti yang saya alami
184,"Semasa di wad, pelbagai jenis pesakit saya jumpa","semasa di wad , pelbagai jenis pesakit saya jumpa"
185," Ada yang bipolar, skizofrenia, depressed, aggressive","ada yang bipolar , skizofrenia , terte , agresif"
186," Saya pernah menemui dan berbual dengan mereka sebagai pelajar perubatan dahulu, sekarang sebagai pesakit pula","saya pernah menemui dan berbual deng mereka sebagai pelajar perubat dahulu , sekarang sebagai pesakit pula"
187," Antara perkara yang saya tak dapat lupa, para pesakit di situ sangat baik","antara perkara yang saya tidak dapat lupa , para pesakit di situ sangat baik"
188, Ada seorang uncle ni siap bagi KFC drumstick dekat saya sebab dia kesian tengok saya murung kot,ada seorang bapa saudara ini siap bagi <allcaps> kfc </allcaps> drumstick dekat saya sebab dia kesi tengok saya murung mungkin
189, Haha terima kasih uncle,haha terima kasih bapa saudara
190,"Selama 2 minggu di wad, saya menjalani 4 sesi ECT","selama dua minggu di wad , saya menjalani empat sesi <allcaps> ect </allcaps>"
191, Saya berpuasa pada malam sebelum ECT,saya berpuasa pada malam sebelum <allcaps> ect </allcaps>
192," Esoknya, para pesakit dibawa ke bilik ECT","esok , para pesakit dibawa ke bilik <allcaps> ect </allcaps>"
193," Sewaktu rawatan, doktor akan bagi ubat bius supaya kita tidur dan ECT dijalankan sewaktu kita tidak sedar","sewaktu rawat , doktor akan bagi ubat bius supaya k tidur dan <allcaps> ect </allcaps> dijalan sewaktu k tidak sedar"
194, Arus elektrik bervoltan rendah dialirkan di sekitar kepala dan kita tidak rasa apa apa sebab dah tidur,arus elektrik bervolt rendah dialir di sekitar kepala dan k tidak rasa apa apa sebab dah tidur
195," Jadi yang sakitnya pun sewaktu beri ubat bius (sakit sikit je) dan bangun bangun je dah ada atas katil, ada makanan terhidang","jadi yang sakit pun sewaktu beri ubat bius ( sakit sikit sahaja ) dan bangun bangun sahaja dah ada atas katil , ada makan terhidang"
196,"Tetapi mungkin akan rasa pening, sakit kepala, mual dan blur sedikit lepas bangun tidur, kesan ubat bius","tetapi mungkin akan rasa pening , sakit kepala , mual dan kabur sedikit lepas bangun tidur , kes ubat bius"
197," Tapi jangan risau, kesannya selalunya beberapa jam sahaja","tetapi jang risau , kesan selalu beberapa jam sahaja"
198, Nurse dan doktor akan memantau keadaan pesakit selepas ECT,jururawat dan doktor akan memantau keada pesakit selepas <allcaps> ect </allcaps>
199," Sekiranya berlanjutan, doktor akan beri ubat bersesuaian dengan kesan yang kita alamiKawan kawan dan keluarga datang melawat","sekira berlanjut , doktor akan beri ubat bersesuai deng kes yang k alamika ka dan keluarga datang melawat"
200, Mereka juga nampak saya lebih ceria selepas sesi rawatan dan saya juga rasa lebih positif dan baik,mereka juga menampak saya lebih ceria selepas sesi rawat dan saya juga rasa lebih positif dan baik
