,raw text,token text,category
22,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,"['dia', 'akan', 'lenting', 'kalau', 'staf', 'balik', 'rumah', 'lepas', 'waktu', 'kerja', 'jam', 'enam', 'petang']",risk factor
23, Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad,"['dia', 'juga', 'akan', 'sentiasa', 'panggil', 'dan', 'whatsapp', 'staf', 'masa', 'hari', 'cuti', 'minggu', 'sabtu', 'dan', 'ahad']",risk factor
24, Apatah lagi semasa Public Holiday,"['apa', 'lagi', 'masa', 'awam', 'cut']",non-deppressive
25," Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report","['itu', 'ada', 'masa', 'untuk', 'kerja', 'panggil', 'mesyuarat', 'dan', 'suruh', 'datang', 'ke', 'rumah', 'hantar', 'lapor']",risk factor
26, Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family,"['bos', 'akan', 'membebel', 'kalau', 'staf', 'nak', 'ambil', 'tahun', 'pergi', 'mahupun', 'pergi', 'cut', 'sama', 'keluarga']",risk factor
27," Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya","['tiap', 'kali', 'dia', 'membebel', 'aku', 'akan', 'rasa', 'aku', 'ini', 'orang', 'yang', 'ka', 'yang', 'te', 'memmuflis', 'syarikat', 'sahaja', 'gaya']",symptom
28, Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia,"['dia', 'akan', 'marah', 'siapa', 'sahaja', 'di', 'dep', 'mata', 'dia', 'kalau', 'dapat', 'tahu', 'ada', 'staf', 'yang', 'cut', 'walau', 'dah', 'dapat', 'benar', 'dia']",risk factor
29,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk","['semenjak', 'kerja', 'deng', 'syarikat', 'ini', 'aku', 'serang', 'tres', 'dan', 'murung', 'rana', 'sikap', 'bos', 'yang', 'buruk']",symptom
30," Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon","['ia', 'sampai', 'jadi', 'tahap', 'aku', 'takut', 'dengar', 'telefon', 'dering', 'cepat', 'cepat', 'aku', 'akan', 'jawab', 'dan', 'jantung', 'aku', 'akan', 'degup', 'pantas', 'macam', 'baru', 'selesai', 'lari', 'maraton']",symptom
31," Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang","['kalau', 'dengar', 'bunyi', 'whatsapp', 'masuk', 'pun', 'jantung', 'aku', 'debar', 'debar', 'kencang']",symptom
32, Takut sangat kena marah,"['takut', 'sangat', 'kena', 'marah']",symptom
33, Takut sangat ada report yang salah atau task yang tak buat,"['takut', 'sangat', 'ada', 'lapor', 'yang', 'sa', 'atau', 'tugas', 'yang', 'tidak', 'buat']",symptom
34,Sudah 2 tahun aku tak bercuti,"['sudah', 'dua', 'tahun', 'aku', 'tidak', 'cut']",non-deppressive
35," Ya, aku memang ada dapat Annual Leave","['ya', 'aku', 'memang', 'ada', 'dapat', 'tahun', 'pergi']",non-deppressive
36, Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil,"['tetapi', 'aku', 'sentiasa', 'panggil', 'masuk', 'kerja', 'pada', 'hari', 'cuti', 'yang', 'aku', 'hak', 'untuk', 'ambil']",risk factor
37," Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik","['apabila', 'hujung', 'tahun', 'dan', 'didapati', 'cuti', 'aku', 'sangat', 'banyak', 'bos', 'cakap', 'aku', 'tidak', 'urus', 'hidup', 'aku', 'dan', 'cuti', 'aku', 'deng', 'baik']",risk factor
38, Siap kena warning supaya tak buat lagi,"['siap', 'kena', 'amar', 'supaya', 'tidak', 'buat', 'lagi']",risk factor
39, Oh ya! Warning letter ni adalah makanan harian bos aku,"['oh', 'ya', 'amar', 'surat', 'ini', 'ada', 'makan', 'hari', 'bos', 'aku']",risk factor
40," Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR","['asal', 'ada', 'sahaja', 'yang', 'dia', 'tidak', 'gemar', 'deng', 'kami', 'setepek', 'amar', 'surat', 'kami', 'akan', 'terima', 'daripada', 'hari']",risk factor
41," Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni","['setakat', 'ini', 'itu', 'pingat', 'dan', 'rekod', 'jaya', 'aku', 'panjang', 'kerja', 'di', 'syarikat', 'ini']",non-deppressive
42,"Semenjak tu, aku dah pasrah","['semenjak', 'itu', 'aku', 'dah', 'pasrah']",symptom
43, Tak berani nak ambil cuti langsung,"['tidak', 'berani', 'nak', 'ambil', 'cuti', 'langsung']",symptom
44," Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan","['walaupun', 'ada', 'cemas', 'dalam', 'keluarga', 'semua', 'aku', 'serah', 'kepada', 'adik', 'adik', 'untuk', 'urus']",symptom
45," Bayangkan la, nak masak atau nak ke toilet pun aku takut","['bayang', 'nak', 'masak', 'atau', 'nak', 'ke', 'tandas', 'pun', 'aku', 'takut']",symptom
46," Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting","['sudah', 'beberapa', 'tahun', 'ini', 'aku', 'takut', 'sangat', 'nak', 'masak', 'di', 'rumah', 'sebab', 'risau', 'masa', 'sibuk', 'masak', 'aku', 'tidak', 'dengar', 'bos', 'panggil', 'atau', 'tiba', 'tiba', 'bos', 'nak', 'buat', 'mesyuarat']",symptom
47, Aku rasa hidup aku sangat pathetic,"['aku', 'rasa', 'hidup', 'aku', 'sangat', 'kasih']",symptom
48," Sedih!Kenapa aku tak tinggalkan je syarikat ni? Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti","['sedih', 'kenapa', 'aku', 'tidak', 'tinggal', 'sahaja', 'syarikat', 'ini', 'jang', 'risau', 'aku', 'tetap', 'akan', 'tinggal', 'syarikat', 'ini', 'suat', 'hari', 'nanti']",non-deppressive
49, Tetapi selepas aku berjaya capai impian aku,"['tetapi', 'lepas', 'aku', 'jaya', 'capai', 'impi', 'aku']",non-deppressive
50," Buat sementara ni, aku terpaksa bertahan","['buat', 'sementara', 'ini', 'aku', 'paksa', 'tah']",non-deppressive
51, Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi,"['impi', 'aku', 'insyaal', 'akan', 'dapat', 'capa', 'dalam', 'sedikit', 'masa', 'lagi']",non-deppressive
52, Banyak sudah kezaliman yang bos dah buat terhadap aku,"['banyak', 'sudah', 'zalim', 'yang', 'bos', 'dah', 'buat', 'hadap', 'aku']",risk factor
53," Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku","['dia', 'zalim', 'deng', 'masa', 'tidur', 'aku', 'cuti', 'minggu', 'aku', 'awam', 'cut', 'aku', 'tahun', 'pergi', 'aku']",risk factor
54,"Aku tak pernah MC, tak pernah EL","['aku', 'tidak', 'mengaparna', 'mc', 'tidak', 'mengaparna', 'el']",non-deppressive
55, Bekerja 24/7 365,"['kerja', 'dua', 'puluh', 'empat', 'per', 'tujuh', 'tiga', 'ratus', 'enam', 'puluh', 'lima']",non-deppressive
56, Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat,"['aku', 'demam', 'pun', 'masih', 'masuk', 'jabat', 'dan', 'tidak', 'berani', 'pergi', 'klinik', 'untuk', 'ambil', 'ubat']",non-deppressive
57," Bukan aku saja, malah staf yang lain pun sama","['bu', 'aku', 'sahaja', 'ma', 'staf', 'yang', 'lain', 'pun', 'sama']",non-deppressive
58," Kalau MC, tetap kena buat kerja walau apa cara sekalipun","['kalau', 'mc', 'tetap', 'kena', 'buat', 'kerja', 'walau', 'apa', 'cara', 'sekalipun']",non-deppressive
59, Aku rasa aku staf yang baik,"['aku', 'rasa', 'aku', 'staf', 'yang', 'baik']",non-deppressive
60, Tapi masih tak cukup bagus untuk dia,"['tetapi', 'masih', 'tidak', 'cukup', 'bagus', 'untuk', 'dia']",non-deppressive
61, Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia,"['aku', 'sangat', 'komited', 'deng', 'kerjaya', 'dan', 'aku', 'tinggal', 'keluarga', 'aku', 'demi', 'keluarga', 'dia']",non-deppressive
62, Bos aku sangat family oriented,"['bos', 'aku', 'sangat', 'keluarga', 'oriented']",non-deppressive
63," Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia","['keluarga', 'oriented', 'bos', 'aku', 'ini', 'maksud', 'staf', 'ada', 'hakmilik', 'kal', 'dia', 'yang', 'wajib', 'ada', 'dalam', 'tiap', 'majlis', 'keluarga', 'dia']",non-deppressive
64," Kalau ada yang tak hadir, siaplah, kena marah","['kalau', 'ada', 'yang', 'tidak', 'hadir', 'siap', 'kena', 'marah']",risk factor
65,Gaji? Kat sini gaji basic saja,"['gaji', 'dekat', 'sini', 'gaji', 'asas', 'sahaja']",non-deppressive
66, Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni,"['double', 'bayar', 'atau', 'triple', 'bayar', 'jika', 'kerja', 'masa', 'cuti', 'atau', 'lepas', 'kerja', 'hours', 'itu', 'memang', 'tidak', 'wujud', 'dalam', 'kamus', 'syarikat', 'ini']",non-deppressive
67," Kalau minta, memang kena reject saja","['kalau', 'minta', 'memang', 'kena', 'tolak', 'sahaja']",non-deppressive
68," Paling best, sampai sekarang aku takde offer letter","['paling', 'baik', 'sampai', 'sekarang', 'aku', 'tiada', 'tawar', 'surat']",non-deppressive
69, Amacam?Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang,"['amacam', 'kamu', 'semua', 'doa', 'aku', 'dapat', 'kerjaya', 'yang', 'lebih', 'baik', 'daripada', 'apa', 'yang', 'aku', 'ada', 'sekarang']",non-deppressive
70, Aku bertahan ni pun sebab nak gaji yang seciput tu je,"['aku', 'tah', 'ini', 'pun', 'sebab', 'nak', 'gaji', 'yang', 'sedikit', 'itu', 'sahaja']",non-deppressive
71, Sambil cari lubang kerja lain,"['sambil', 'cari', 'lubang', 'kerja', 'lain']",non-deppressive
72," Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah","['bos', 'aku', 'cakap', 'kalau', 'nak', 'cari', 'kerja', 'di', 'musim', 'covid', 'ini', 'memang', 'payah']",non-deppressive
73," Tapi aku percaya, Allah kan Maha Memberi Rezeki","['tetapi', 'aku', 'percaya', 'allah', 'kan', 'maha', 'beri', 'rezeki']",non-deppressive
74," InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner","['insyaal', 'aku', 'juga', 'percaya', 'allah', 'akan', 'balas', 'zalim', 'bos', 'hadap', 'kami', 'ini', 'lebih', 'cepat', 'atau', 'lebih', 'cepat']",non-deppressive
75," Hakikatnya, ia dah pun berlaku terhadap syarikat ni","['hakikat', 'ia', 'dah', 'pun', 'laku', 'hadap', 'syarikat', 'ini']",non-deppressive
76, Aku sangat bersyukur,"['aku', 'sangat', 'syukur']",non-deppressive
77," Dengan setiap cabaran yang bos dan syarikat tanggung sekarang, bos dah mula tahu bercakap guna bahasa yang baik dan belajar minta maaf dengan kami","['deng', 'tiap', 'cabar', 'yang', 'bos', 'dan', 'syarikat', 'tanggung', 'sekarang', 'bos', 'dah', 'mula', 'tahu', 'cakap', 'guna', 'bahasa', 'yang', 'baik', 'dan', 'bajar', 'minta', 'maaf', 'deng', 'kami']",non-deppressive
78, Cuma dia masih tak boleh buang tabiat buruk bab menipu kepada masyarakat,"['cuma', 'dia', 'masih', 'tidak', 'boleh', 'buang', 'tabiat', 'buruk', 'bab', 'tipu', 'kepada', 'masyarakat']",non-deppressive
79," Kalau sebelum ni, maki hamun adalah zikir harian dia kepada kami","['kalau', 'belum', 'ini', 'maki', 'hamun', 'ada', 'zikir', 'hari', 'dia', 'kepada', 'kami']",non-deppressive
80," Setakat ayat “bodoh”, “takde otak”, “pemalas” tu, bagi aku ayat biasa macam mak-mak pujuk anak nak tidur","['setakat', 'ayat', 'bodoh', 'tiada', 'otak', 'malas', 'itu', 'bagi', 'aku', 'ayat', 'biasa', 'macam', 'mak', 'mak', 'pujuk', 'anak', 'nak', 'tidur']",non-deppressive
81, Dah lali,"['dah', 'lali']",non-deppressive
82,"Banyak nak ceritakan, tapi aku bukan seorang yang pandai mengarang","['banyak', 'nak', 'cerita', 'tetapi', 'aku', 'bu', 'orang', 'yang', 'panda', 'arang']",non-deppressive
83," Aku ini seorang yang pendiam, jarang berbual kecuali dengan orang yang rapat","['aku', 'ini', 'orang', 'yang', 'diam', 'jarang', 'bual', 'kecuali', 'deng', 'orang', 'yang', 'rapat']",non-deppressive
84, Aku ibu dengan 4 orang anak,"['aku', 'ibu', 'deng', 'empat', 'orang', 'anak']",non-deppressive
85, Doktor diagnos aku dengan depression(Kemurungan) sejak januari 2014,"['doktor', 'diagnosa', 'aku', 'deng', 'murung', 'murung', 'sejak']",symptom
86, Ujian DASS memang dah teruk sejak beberapa tahun sebelum tu tapi tak dapatkan rawatan,"['uji', 'dass', 'memang', 'dah', 'teruk', 'sejak', 'beberapa', 'tahun', 'belum', 'itu', 'tetapi', 'tidak', 'dapat', 'rawat']",symptom
87,"[Ujian DASS digunakan untuk menyaring seseorang individu bagi masalah kemurungan(depression), kerisauan(anxiety) dan juga tertekan(stress)]Nak cerita tentang masa aku sakit teruk tu, aku berhari hari tak boleh tidur","['uji', 'dass', 'guna', 'untuk', 'mennyaring', 'orang', 'individu', 'bagi', 'masa', 'murung', 'murung', 'risau', 'bimbang', 'dan', 'juga', 'terte', 'stres', 'nak', 'cer', 'tentang', 'masa', 'aku', 'sakit', 'teruk', 'itu', 'aku', 'hari', 'hari', 'tidak', 'boleh', 'tidur']",symptom
88, Menangis sendiri dalam gelap malam,"['menang', 'sendiri', 'dalam', 'gelap', 'malam']",symptom
89," Siang aku kerja macam biasa, urus anak-anak semua, tapi aku rasa seperti mayat hidup","['siang', 'aku', 'kerja', 'macam', 'biasa', 'urus', 'anak', 'anak', 'semua', 'tetapi', 'aku', 'rasa', 'seperti', 'mayat', 'hidup']",symptom
90, Umpama zombie,"['umpama', 'zombie']",non-deppressive
91," Malam aku menangis, nak tidur tapi gagal","['malam', 'aku', 'menang', 'nak', 'tidur', 'tetapi', 'gagal']",symptom
92, Berlarutan seminggu,"['larut', 'seminggu']",non-deppressive
93, Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak,"['masa', 'itu', 'aku', 'buntu', 'sebab', 'ada', 'masa', 'deng', 'penasuh', 'anak', 'anak']",risk factor
94, Satu malam tu aku rasa macam seluruh dunia bertimpa atas kepala,"['satu', 'malam', 'itu', 'aku', 'rasa', 'macam', 'seluruh', 'dunia', 'timpa', 'atas', 'kepala']",symptom
95, Segala flashback peristiwa dalam hidup terimbas,"['segala', 'flashback', 'peristiwa', 'dalam', 'hidup', 'imbas']",risk factor
96," Segala kesilapan kebodohan dalam hidup menerpa, all at once","['segala', 'silap', 'bodoh', 'dalam', 'hidup', 'terpera', 'al', 'pada', 'once']",risk factor
97," Esok paginya kebetulan cuti sebab anak belum dapat pengasuh, aku memandu tapi aku rasa macam bukan aku yang memandu","['esok', 'pagi', 'betul', 'cuti', 'sebab', 'anak', 'belum', 'dapat', 'penasuh', 'aku', 'pandu', 'tetapi', 'aku', 'rasa', 'macam', 'bu', 'aku', 'yang', 'pandu']",symptom
98," Aku bawa anak 1,2 dan 4","['aku', 'bawa', 'anak', 'dua', 'belas', 'dan', 'empat']",non-deppressive
99, Anak nombor tiga entah kenapa aku tinggalkan dengan suami,"['anak', 'nombor', 'tiga', 'en', 'kenapa', 'aku', 'tinggal', 'deng', 'suami']",symptom
100," Suami ada masa tu dia tidur, tapi aku macam kena pukau antara sedar dan tak sedar, aku memandu ke rumah rakan sekerja lelaki yang paling buat aku stress kat tempat kerja","['suami', 'ada', 'masa', 'itu', 'dia', 'tidur', 'tetapi', 'aku', 'macam', 'kena', 'pukau', 'antara', 'dar', 'dan', 'tidak', 'dar', 'aku', 'pandu', 'ke', 'rumah', 'rak', 'kerja', 'lelaki', 'yang', 'paling', 'buat', 'aku', 'tres', 'dekat', 'tempat', 'kerja']",symptom
101,Aku tak tau kenapa aku ke situ,"['aku', 'tidak', 'tahu', 'kenapa', 'aku', 'ke', 'situ']",symptom
102," Isterinya keluar kerja, dia, 3 orang anaknya, (salah seorangnya kawan kelas anak aku), dan ibu mertua dia ada","['isteri', 'keluar', 'kerja', 'dia', 'tiga', 'orang', 'anak', 'sa', 'orang', 'ka', 'kelas', 'anak', 'aku', 'dan', 'ibu', 'mertua', 'dia', 'ada']",non-deppressive
103, Lepas dia hidang minuman aku pun balik,"['lepas', 'dia', 'hidang', 'minum', 'aku', 'pun', 'balik']",non-deppressive
104, Menuju pula ke rumah kakak aku,"['menuju', 'pula', 'ke', 'rumah', 'kak', 'aku']",non-deppressive
105," Sampai rumah kakak terus duduk rumah dia, dalam keadaan tak waras macam ada orang kawal badan aku","['sampai', 'rumah', 'kak', 'terus', 'duduk', 'rumah', 'dia', 'dalam', 'ada', 'tidak', 'waras', 'macam', 'ada', 'orang', 'kawal', 'badan', 'aku']",symptom
106, Mereka layan aku macam aku ni nak bunuh diorang pulak,"['mereka', 'lay', 'aku', 'macam', 'aku', 'ini', 'nak', 'bunuh', 'mereka', 'pula']",risk factor
107,Lima hari duduk rumah kakak dengan anak-anak dan mak abah aku pun datang duduk nak jaga aku,"['lima', 'hari', 'duduk', 'rumah', 'kak', 'deng', 'anak', 'anak', 'dan', 'mak', 'abah', 'aku', 'pun', 'datang', 'duduk', 'nak', 'jaga', 'aku']",non-deppressive
108," Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila","['lepas', 'lima', 'hari', 'aku', 'pujuk', 'suami', 'aku', 'tolong', 'bawa', 'kami', 'balik', 'duduk', 'rumah', 'kak', 'aku', 'di', 'lay', 'macam', 'orang', 'gila']",risk factor
109," Di angkat paksa mandi air limau, telinga aku disiram air, di hembus-hembus kakak dan abang ipar aku berlagak macam bomoh","['di', 'angkat', 'paksa', 'mandi', 'udara', 'limau', 'telinga', 'aku', 'siram', 'udara', 'di', 'hembus', 'hembus', 'kak', 'dan', 'abang', 'ipar', 'aku', 'lagak', 'macam', 'bomoh']",non-deppressive
110,Panggil perawat tah siapa,"['panggil', 'perawat', 'siapa']",non-deppressive
111, Aku tak perlukan semua tu,"['aku', 'tidak', 'mengaparlu', 'semua', 'itu']",non-deppressive
112, Tapi dalam hati aku sentiasa ingat ni ujian Allah,"['tetapi', 'dalam', 'hati', 'aku', 'sentiasa', 'ingat', 'ini', 'uji', 'allah']",non-deppressive
113,"Kawan(nurse) call suruh datang klinik jumpa doktor, doktor tanya-tanya dan bagi surat rujukan ke pakar psikiatri","['ka', 'jurawat', 'panggil', 'suruh', 'datang', 'klinik', 'jumpa', 'doktor', 'doktor', 'tanya', 'tanya', 'dan', 'bagi', 'surat', 'ruju', 'ke', 'pakar', 'psikiatri']",non-deppressive
114," Begitulah kisah aku seorang ibu berkerjaya, pejuang MDD, dengan 4 anak kecil","['begitu', 'kisah', 'aku', 'orang', 'ibu', 'berkerjaya', 'juang', 'md', 'deng', 'empat', 'anak', 'kecil']",non-deppressive
115,Dah bagitau dah yang aku ni tak reti mengarang,"['dah', 'begitu', 'dah', 'yang', 'aku', 'ini', 'tidak', 'reti', 'arang']",non-deppressive
116, Panjang cerita tapi aku ringkaskan,"['panjang', 'cer', 'tetapi', 'aku', 'ringkas']",non-deppressive
117,Sebelum aku tamatkan tulisan ini,"['belum', 'aku', 'tamat', 'tulis', 'ini']",non-deppressive
118, Aku nak bagi panduan sikit kepada masyarakat:1,"['aku', 'nak', 'bagi', 'pandu', 'sikit', 'kepada', 'masyarakat', 'satu']",non-deppressive
119, Ibu berkerja perlu sokongan,"['ibu', 'kerja', 'perlu', 'sokong']",non-deppressive
120,2,['dua'],non-deppressive
121, Pengasuh yang baik,"['asuh', 'yang', 'baik']",non-deppressive
122,3,['tiga'],non-deppressive
123, Majikan yang memahami,"['maji', 'yang', 'paham']",non-deppressive
124,4,['empat'],non-deppressive
125, Suami yang mendengar dan memberi moral support,"['suami', 'yang', 'dengar', 'dan', 'beri', 'moral', 'sokong']",non-deppressive
126,5,['lima'],non-deppressive
127," Cari kawan yang baik, bukan penghasut dan pendengki","['cari', 'ka', 'yang', 'baik', 'bu', 'penhasut', 'dan', 'dengki']",non-deppressive
128,6,['enam'],non-deppressive
129," Yang penting utama sekali, ingat Allah sentiasa","['yang', 'penting', 'utama', 'sekali', 'ingat', 'allah', 'sentiasa']",non-deppressive
130,Penulis: Ayna,"['tulis', 'ayna']",non-deppressive
131, Saya merupakan seorang bekas doktor pelatih (houseman),"['saya', 'rupa', 'orang', 'bekas', 'doktor', 'latih', 'houseman']",non-deppressive
132, Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua,"['cer', 'ini', 'mungkin', 'selalu', 'didengari', 'tetapi', 'mungkin', 'ada', 'manfaat', 'buat', 'semua']",non-deppressive
133," Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang","['cer', 'ini', 'mungkin', 'panjang', 'bersahaja', 'mohon', 'baca', 'waktu', 'lapang', 'dan', 'maaf', 'sekira', 'ada', 'kurang', 'dari', 'segi', 'bahasa', 'atau', 'lepas', 'pandang']",non-deppressive
134,Saya mula bekerja sebagai doktor pelatih pada November 2018,"['saya', 'mula', 'kerja', 'bagai', 'doktor', 'latih', 'pada']",non-deppressive
135," Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)","['waktu', 'itu', 'saya', 'mula', 'tagging', 'tempoh', 'waktu', 'para', 'latih', 'sesuai', 'diri', 'deng', 'sistem', 'kerja', 'di', 'wad']",non-deppressive
136," Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri","['pelbagai', 'prosedur', 'sistem', 'cara', 'rujuk', 'kes', 'mesti', 'ajar', 'deng', 'cepat', 'agar', 'pantas', 'sesuai', 'diri']",non-deppressive
137, Alhamdulillah para senior banyak membantu,"['alhamdulil', 'para', 'senior', 'banyak', 'bantu']",non-deppressive
138, Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu),"['saya', 'masuk', 'kerja', 'pukul', 'dan', 'balik', 'untuk', 'dua', 'minggu', 'turut', 'balik', 'kerja', 'pukul', 'pada', 'hujung', 'minggu']",non-deppressive
139, Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je,"['saya', 'tetap', 'di', 'asrama', 'hospital', 'jadi', 'nak', 'pergi', 'wad', 'jal', 'kaki', 'sahaja']",non-deppressive
140, Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya,"['semua', 'okey', 'pada', 'mula', 'tetapi', 'pada', 'minggu', 'dua', 'saya', 'mula', 'asa', 'kelain', 'pada', 'diri', 'saya']",non-deppressive
