raw text,type
 diri terkesan apabila kesibukkan melampau sehingga banyak kerja yang tertangguh di sertai dengan di herdik dan di marah oleh orang atasan di sebabkan KPI tidak seperti yang di hendaki,3
 Even she does not respect me,2
" Even worst, disebabkan perkara tu dia dikecam dan dihina oleh pelajar2 lain (mostly girls) daripada jabatan yg sama dengan dia",2
 Faktor ejekan tersebut mendorong saya untuk membuat keputusan memasuki sekolah menengah di mana tiada langsung pelajar sekolah rendah yang sama dengan saya,2
 Hinggalah nenek saya menghembuskan nafas terakhir 2bulan lepas,1
 Ibu saya menyedari hal ini dan sering membezakan saya dengan adik saya,2
" If we don't comply, we will receive an earful of endless nagging and scolding that the whole village can hear, saying that we don't have enough pahala and will go to hell etc",2
 Ini berlaku setelah aku bertukar tempat kerja yg nyata pada awalnya dapat di urus dengan baik tetapi setelah 3 bulan di tukar ke assignment yang lebih susah,3
" Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report",3
 I've also got financial issue and family issue and,2
 Jadi gaji saya disekat,3
 Jadi saya teruskan bekerja tanpa gaji selama 4 bulan,3
 kadang kadang stress bukan sebab kerja tapi sebab terlampau banyak menunggu keputusan dari boss,3
 Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja,3
" Kalau ada master ni, automatik akan jadi â€œTERPANDAIâ€ ke??? Saya akui saya ada buat kesalahan tapi kenapa academic background saya dijadikan sebagai kayu pengukur? Just because i have a master everyone thinks iâ€™m smart and donâ€™t do mistake? Saya cuma manusia biasa yang tidak boleh lari daripada masalah",3
" Kalau ada yang tak hadir, siaplah, kena marah",3
" Kalau adik beradik yang lain, takde pula dia marah, nak benci, nak banding2kan",2
 Kehilangan rakan baik ditambah pula kesibukan membuat tesis telah mejadikan saya terlampau stres,3
" Kenapa?Kalau saya buat kesilapan ditempat kerja, perkara pertama yang boss saya akan cakap â€œKau ada master",3
 Lagi- lagi bila orang salahkan saya depan â€“ depan secara gurauan dia punya feel tu macam dah tak nak buat ape dah,3
" Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila",2
 Macam aku ni sungguh mengada-ada,3
 Mak aku ada je justification dia tuk ap adik aku buat,2
 Malah ayah saya turut dihubungi dan diminta pulang dengan kadar segera,3
 Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak,3
 Membawa nama sekolah perempuan saya pada ketika itu telah menyebabkan saya dipulau tanpa ditanya apa-apa,1
 Mereka layan aku macam aku ni nak bunuh diorang pulak,2
 Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau,1
 Nak jadikan cerita sebulan aku stay di sana aku rasa stress sangat sebab aku pi kelas naik bas,3
 Nak naik bas pula kena tunggu dan keadaan dalam bas tu sentiasa penuh dengan orang,3
" Namun begitu, kami sekeluarga terpaksa berpindah atas tuntutan kerja ayah",3
" Namun, kehidupan saya sentiasa dibayangi ibu bapa saya",2
" Namun, semua itu berubah apabila saya mengalami epilepsi atau lebih dikenali sebagai sawan",4
 Oh ya! Warning letter ni adalah makanan harian bos aku,3
 Penyakit ini secara tidak langsung telah mengubah kehidupan saya,4
 Penyakit saya dibicara oleh para guru tanpa segan-silu malah ada pelajar mendengarnya,4
" Sampai satu ketika, saya pernah menangis kerana diejek sebegitu",1
" Saya diejek dengan perkataan â€œsawan babiâ€, â€œwayar putusâ€ dan beberapa perkataan yang sudah saya lupakan",1
 Saya ditinggalkan oleh rakan sekelas saya malah dipulau secara tidak langsung oleh mereka,1
 Saya kehilangan seorang rakan baik dan pada waktu yang sama saya mengetahui bahawa orang yang saya menaruh harapan hanyalah mempermainkan saya,1
 Saya kehilangan tiga insan yang menjadi tulang belakang saya,2
 Saya MIA(missing in action bermaksud tidak datang kerja),3
" Saya ni bukan anak yang jenis melawan, kalau parents bising pun saya duduk diam sebab saya tahu saya tak boleh menang dan sebarang hujah yang diberi akan dipatahkan",2
" saya rasa axiety saya makin teruk, dsebabkan oleh masalah belajar, kewangan, toxic friend and broken family",4
 Saya sedang bergelut dengan satu perasaan di mana saya harus memaafkan orang sekeliling dan diri saya sendiri,3
 Saya tak sempat nak rsa apa apa,3
 Saya tergamam memikirkan pengorbanan saya melahirkan dan memaafkan disiakan begitu sahaja,3
 Sayalah yang menghentikan cpr ayah saya sendiri yang dilakukan rakan sekerja saya,1
" Sebagai anak sulung, saya sedar jika sesuatu berlaku kepada ibu bapa saya, secara automatik tanggungjawab keluarga dipikul oleh saya",3
 Segala flashback peristiwa dalam hidup terimbas,2
" Segala kesilapan kebodohan dalam hidup menerpa, all at once",2
" Sejak ayah aku meninggal, boleh dikatakan hidup aku tak sebahagia dulu",1
 Sejak dulu lagi saya sering cemburu dengan kehidupan seorang tukang sapu kerana saya lebih sanggup hidup secara sederhana seperti mereka walaupun dalam serba kekurangan daripada hidup mewah tapi dalam rumah sendiri pun rasa tidak selamat,2
 Seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital,1
 Semua benda aku buat semua tak kena di mata dia,2
 Sepatutnya boleh fikir! Perkara ini tidak sepatutnya terjadi!â€,3
" Sewaktu penyakit ini menyerang, saya melihat betapa lemahnya seorang ibu",4
 Siap kena warning supaya tak buat lagi,3
" So yeah, I guess maybe I can feel you abt the part having parents with such temperament",2
" Tak boleh nak dibandingkan dari segi result, dia bandingkan dari segi benda lain pula",2
" Tak pun orang akan cakap â€œTakde apa la, jangan nak depressed sangat",3
 Tapi dalam memberi semangat itu terkadang terkeluar kemarahan dan ego nya sebagai seorang lelaki,2
 Tapi disebabkan result SPM yang mengecewakan,3
 Tapi mak aku ni tak habis2 nak banding2kan aku dengan kawan2 aku dan adik beradik yang lain,2
 Tapi malangnya dia tak dapat merasa title first class degree dekat transkrip dia,1
" Tapi pada tahun akhir ijazah aku, aku mulai jatuh",3
 Terpaksa pergi Pusat Teknologi maklumat jalan kaki jauh la jugak sebab nak settlekan masalah ni,3
 Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil,3
 Then aku mohon la UPU untuk masuk universiti malangnya permohonan aku gagal,3
" Wajarkah saya untuk membebani hati serta kepala mereka dengan kemurungan saya?Jika dahulu, saya hanya menangis",1
"""Apa pendapat korang dengan mak bapak yang suka 'neraka-kan' anak sendiri? Asian parents ni memang ingat dia orang ni tuhan ke nak tentukan siapa pergi jahanam",2
"""Rindu yang paling sakit ialah rindu kepada orang yang dah buang kita",1
5 bulan bekerja atok saya meninggal di hospital sama saya bekerja,1
8 bulan bekerja ayah saya meninggal di ccu juga di hospital sama saya bekerja,1
Â Kemudian tahun yang sama nenek saya yang mengasuh dari kecil didiagnos kanser,3
Aku kecewa dan sedih la jugak sebab kawan2 semua smbung belajar masuk universiti,1
Aku pernah lewat kena marah dengan lecture sebab lambat datang kelas pada hari pertama sedangkan aku bukan tertidur ke sengaja datang lewat cuma bas tu dah penuh aku terpaksa tunggu bas lain datang pula la,3
Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham,3
Betul betul saya hilang masa tu,3
Cara doktor tanya macam menekan,3
Dan apa yang malang lagi roomate aku pula jenis buat hal sendiri je,1
Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang,3
Doktor ni perlekehkan aku masa aku nak explain apa yang aku fikirkan,3
I am pretty sure that im not alone menghadapi tekanan study online yg akan dtg terutama yg online KAT RUMAH,3
Namun sehingga saya melahirkan anak dia masih melakukan perkara yang sama,2
"Ringkasnya, dari dulu aku memang seorang yang tidak berapa pandai jika dibandingkan dengan orang lain",3
"Tapi problem orang kita di Malaysia ni, asal depression je dah anggap gila",3
