,Text
86, Doktor diagnos aku dengan depression(Kemurungan) sejak januari 2014
87, Ujian DASS memang dah teruk sejak beberapa tahun sebelum tu tapi tak dapatkan rawatan
88,"[Ujian DASS digunakan untuk menyaring seseorang individu bagi masalah kemurungan(depression), kerisauan(anxiety) dan juga tertekan(stress)]Nak cerita tentang masa aku sakit teruk tu, aku berhari hari tak boleh tidur"
89, Menangis sendiri dalam gelap malam
90," Siang aku kerja macam biasa, urus anak-anak semua, tapi aku rasa seperti mayat hidup"
91, Umpama zombie
92," Malam aku menangis, nak tidur tapi gagal"
93, Berlarutan seminggu
94, Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak
95, Satu malam tu aku rasa macam seluruh dunia bertimpa atas kepala
96, Segala flashback peristiwa dalam hidup terimbas
97," Segala kesilapan kebodohan dalam hidup menerpa, all at once"
98," Esok paginya kebetulan cuti sebab anak belum dapat pengasuh, aku memandu tapi aku rasa macam bukan aku yang memandu"
99," Aku bawa anak 1,2 dan 4"
100, Anak nombor tiga entah kenapa aku tinggalkan dengan suami
101," Suami ada masa tu dia tidur, tapi aku macam kena pukau antara sedar dan tak sedar, aku memandu ke rumah rakan sekerja lelaki yang paling buat aku stress kat tempat kerja"
102,Aku tak tau kenapa aku ke situ
103," Isterinya keluar kerja, dia, 3 orang anaknya, (salah seorangnya kawan kelas anak aku), dan ibu mertua dia ada"
104, Lepas dia hidang minuman aku pun balik
105, Menuju pula ke rumah kakak aku
106," Sampai rumah kakak terus duduk rumah dia, dalam keadaan tak waras macam ada orang kawal badan aku"
107, Mereka layan aku macam aku ni nak bunuh diorang pulak
108,Lima hari duduk rumah kakak dengan anak-anak dan mak abah aku pun datang duduk nak jaga aku
109," Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila"
110," Di angkat paksa mandi air limau, telinga aku disiram air, di hembus-hembus kakak dan abang ipar aku berlagak macam bomoh"
111,Panggil perawat tah siapa
112, Aku tak perlukan semua tu
113, Tapi dalam hati aku sentiasa ingat ni ujian Allah
114,"Kawan(nurse) call suruh datang klinik jumpa doktor, doktor tanya-tanya dan bagi surat rujukan ke pakar psikiatri"
115," Begitulah kisah aku seorang ibu berkerjaya, pejuang MDD, dengan 4 anak kecil"
116,Dah bagitau dah yang aku ni tak reti mengarang
117, Panjang cerita tapi aku ringkaskan
118,Sebelum aku tamatkan tulisan ini
119, Aku nak bagi panduan sikit kepada masyarakat:1
120, Ibu berkerja perlu sokongan
121,2
122, Pengasuh yang baik
123,3
124, Majikan yang memahami
125,4
126, Suami yang mendengar dan memberi moral support
127,5
128," Cari kawan yang baik, bukan penghasut dan pendengki"
129,6
130," Yang penting utama sekali, ingat Allah sentiasa"
131,Penulis: Ayna
132, Saya merupakan seorang bekas doktor pelatih (houseman)
133, Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua
134," Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang"
135,Saya mula bekerja sebagai doktor pelatih pada November 2018
136," Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)"
137," Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri"
138, Alhamdulillah para senior banyak membantu
139, Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu)
140, Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je
141, Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya
142,"Sewaktu saya tidur pada malamnya, saya tiba tiba terjaga pukul 3am dan tak boleh sambung tidur"
143," Esoknya saya perlu masuk kerja pukul 6am, membuatkan saya stcress dan akhirnya saya menangis"
144, Mungkin terlalu penat tetapi saya mulanya anggap ini perkara biasa
145, Tetapi malam itu menjadi kemuncak tekanan
146,"Saya buat solat sunat, cuba untuk menenangkan diri dan saya mengambil keputusan untuk memanggil Befrienders KL"
147," Ia merupakan sebuah organisasi yang mendengar masalah dan isu para pemanggil, terutamanya kemurungan dan suicidal thoughts"
148," Yelah, nak call orang lain pun, semua tengah tidur pukul 3 pagi"
149, Saya berbual dengan staf bertugas hampir sejam lamanya
150, Alhamdulillah stafnya sangat lembut dan baik
151,Beliau bertanya 1
152, Boleh ceritakan apa yang terjadi 2
153, Apa punca kepada isu ini 3
154," Apa yang boleh saya lakukan – jujurnya waktu tu memang hanya nak berbual dengan seseorang, untuk lepaskan tekanan"
155, Tetapi pada masa yang sama saya terfikir untuk hadir ke klinik Psikiatrik untuk mengetahui sekiranya saya depressed
156, Staf tersebut memberi saya nombor telefon klinik psikiatrik
157,"Selepas berbual, saya rasa lebih lega tetapi saya tetap mengambil keputusan untuk hadir ke klinik Psikiatri"
158, Klinik Psikiatri di hospital saya boleh walk-in pada waktu pagi
159,"Di sana, saya berjumpa doktor dan menceritakan masalah saya"
160," Badan terasa letih, berat dan minda tidak dapat fokus kepada perbualan atau aktiviti"
161, Saya kurang suka melakukan aktiviti yang saya minati dahulu
162, Saya kurang makan dan banyak termenung
163, Fikiran saya selalu berfikir perkara negatif
164,"Setelah diamati, rupanya saya telah mengalami simptom ini sejak seminggu lepas, tetapi saya kurang ambil peduli dan fikir “biasalah baru mula kerja, penat tu biasa”"
165, Saya didiagnos sebagai Adjusment Disorder with depressive mood
166," Saya diberi ubat Lorazepam (benzodiazepine) untuk tidur dan Mirtazapine (antidepressant), diberi MC selama seminggu dan dirujuk ke pakar psikiatrik (Kes melibatkan houseman dirujuk ke pakar)"
167, Mulanya ingatkan dapatlah MC sehari dua je tapi tak sangka pula sampai seminggu
168,Senior dan supervisor juga memahami situasi saya setelah saya bercerita kepada mereka dan saya cuba berehat dan muhasabah
169, Saya dapat tidur dengan bantuan ubat tetapi mood dan emosi saya masih depressed
170,"Setelah berjumpa doktor pakar pada lawatan seterusnya (setiap 2 minggu), saya didiagnos sebagai Major Depressive Disorder"
171, Dos ubat Mirtazapine dinaikkan kerana saya tetap depressed dan emosi tetap sama
172," Selepas 2 minggu, saya ditukarkan ubat dengan Sertraline (SSRI – Selective Serotonin Reuptake Inhibitor)"
173, Tetapi mood tetap juga depressed
174, Maka dos Sertraline dinaikkan pula
175,"Sepanjang waktu MC dan rawatan, saya duduk bersama keluarga"
176," Mereka sangat memahami dan menyokong, tidak pernah ada keluh kesah atau berputus asa dengan saya, terutamanya Mak"
177, Terima kasih atas keprihatinan dan kasih sayang keluarga
178, Moga Allah membalas kebaikan mereka dengan rahmat dan rezekiNya di dunia dan akhirat
179,"Pada bulan 3 rawatan, saya tetap belum pulih dan tetap mengalami depressed mood"
180," Malah saya mula mengalami auditory hallucination, mula mendengar suara yang mengatakan saya tak berguna, lemah, bodoh dan kata kata negatif"
181," Pada waktu ini saya diberi juga ubat antipsikotik (Aripiprazole) tetapi tetap sama, saya mendengar suara"
182, Doktor mencadangkan saya dimasukkan ke wad kerana saya sudah dikira sebagai Severe Major Depressive Disorder dan memerlukan rawatan ECT (Electroconvulsive Therapy)
183, Saya bersetuju kerana saya juga tahu rawatan ECT merupakan salah satu rawatan yang berkesan untuk severe type seperti yang saya alami
184,"Semasa di wad, pelbagai jenis pesakit saya jumpa"
185," Ada yang bipolar, skizofrenia, depressed, aggressive"
186," Saya pernah menemui dan berbual dengan mereka sebagai pelajar perubatan dahulu, sekarang sebagai pesakit pula"
187," Antara perkara yang saya tak dapat lupa, para pesakit di situ sangat baik"
188, Ada seorang uncle ni siap bagi KFC drumstick dekat saya sebab dia kesian tengok saya murung kot
189, Haha terima kasih uncle
190,"Selama 2 minggu di wad, saya menjalani 4 sesi ECT"
191, Saya berpuasa pada malam sebelum ECT
192," Esoknya, para pesakit dibawa ke bilik ECT"
193," Sewaktu rawatan, doktor akan bagi ubat bius supaya kita tidur dan ECT dijalankan sewaktu kita tidak sedar"
194, Arus elektrik bervoltan rendah dialirkan di sekitar kepala dan kita tidak rasa apa apa sebab dah tidur
195," Jadi yang sakitnya pun sewaktu beri ubat bius (sakit sikit je) dan bangun bangun je dah ada atas katil, ada makanan terhidang"
196,"Tetapi mungkin akan rasa pening, sakit kepala, mual dan blur sedikit lepas bangun tidur, kesan ubat bius"
197," Tapi jangan risau, kesannya selalunya beberapa jam sahaja"
198, Nurse dan doktor akan memantau keadaan pesakit selepas ECT
199," Sekiranya berlanjutan, doktor akan beri ubat bersesuaian dengan kesan yang kita alamiKawan kawan dan keluarga datang melawat"
200, Mereka juga nampak saya lebih ceria selepas sesi rawatan dan saya juga rasa lebih positif dan baik
201, Doktor juga membenarkan saya keluar selepas lengkap rawatan ECT
202, Ubat saya ditukar pula kepada Desvenlafaxine (juga anti-depressant) dan Aripiprazole untuk halusinasi
203,"Pada waktu ini, Aripiprazole menyebabkan saya rasa resah"
204," Saya tidak boleh duduk diam di rumah dan bila hendak tidur, saya perlu menggunakan Lorazepam untuk tidur"
205," Selepas berbincang dengan doktor, saya tidak perlu lagi menggunakan Aripiprazole kerana halusinasi juga hilang sehingga hari ini"
206, Saya masih dalam rawatan (Desvenlafaxine) dan pemantauan doktor tetapi sekarang saya lebih ceria dan positif
207, Saya kembali menjalani kehidupan normal sebelum saya sakit
208," Saya sangat bersyukur dengan pertolongan doktor, keluarga dan kawan dalam proses pemulihan ini"
209,"Sekarang, saya telah meletakkan jawatan dan mencari peluang pekerjaan lain"
210, Mungkin rezeki saya di bidang perubatan setakat ini sahaja atau mungkin juga di lain masa
211," Apa pun, hidup tetap perlu diteruskan"
212, Saya tidak pernah menyesal melalui pengalaman ini kerana ia menjadi satu bahagian dalam hidup saya yang bernilai
213,"Ada masa kita jatuh terduduk, ada masa kita akan kembali bangkit lebih tinggi dari sebelumnya"
214," Saya percaya, satu pintu yang tertutup, ada pintu lain yang terbuka"
215," Dan akhirnya kita akan melalui jalan kehidupan yang lebih bahagia, asalkan kita terus berusaha"
216, Pelbagai pengajaran saya pelajari sewaktu tempoh depression ini antaranya :1
217," Sekiranya emosi kita terganggu atau stress, luahkan pada orang yang kita rapat, kawan – kawan dan keluarga"
218," Selalunya, sesi meluahkan perasaan amat membantu menstabilkan emosi"
219," Sekiranya anda tidak selesa meluhkan pada kenalan, boleh cuba menghubungi Befrienders"
220, Mereka terlatih untuk mendengar isu dan masalah pemanggil dan tidak bersifat judgemental dengan isu kita
221, 2
222, Dapatkan rawatan di klinik kesihatan / pakar psikiatrik sekiranya masalah tetap berpanjangan
223," Jangan sekali- kali merawat diri sendiri tanpa pemantauan doktor dan pakar bertauliah, dikhuatiri menyebabkan masalah lain pula"
224,3
225," Sekiranya tidak serasi dengan ubatan atau ubat tidak memberikan kesan, berbincang dengan doktor pakar dan nyatakan dengan jujur"
226, Doktor akan cuba mengoptimumkan rawatan
227, Sesetengah ubat memerlukan tempoh untuk berkesan dan berbeza tempoh kecepatan dan keberkesanan
228, Jangan malu kerana ia boleh menganggu rawatan dan menyebabkan kita mudah berputus asa
229, Hadir bersama ahli keluarga atau kawan agar mereka juga faham rawatan dan situasi kita
230, Mungkin ahli keluarga dan kawan boleh mengajukan soalan kita kalau kita malu
231, Pastikan anda faham rawatan dan arahan doktor
232,4
233, Banyakkan bersabar dan lakukan akitiviti yang mendatangkan keseronokan
234, Bersenam merupakan aktiviti yang sangat membantu 5
235, Jangan mudah menghukum orang pesakit pskiatrik
236," Ada yang kata kena sihir, gangguan jin dan pelbagai lagi yang boleh menyebabkan pesakit bertambah murung"
237," Apa yang kita boleh lakukan adalah dengan memberi kata semangat, motivasi dan doa"
238,6
239," Tidak dinafikan ada kes yang melibatkan gangguan alam ghaib tetapi pada masa yang sama, berikhtiarlah dengan perawat bertauliah, professional dan rawatan yang terbukti dikaji dan berkesan di peringkat kinikal"
240," Pendek kata, produk produk jualan di pasaran yang mendakwa boleh menyembuhkan penyakit psikiatrik mahupun fizikal adalah berkemungkinan besar merugikan duit dan tidak berkesan"
241," Sekalipun berkesan, mungkin jangka pendek sahaja dan penjual produk tidak ada follow-up dan guideline yang diiktiraf"
242," Para penjual produk, tolong jangan ambil kesempatan ke atas para pesakit untuk keuntungan semata ye"
243, Banyak orang cuba mencadangkan produk-produk ini kepada saya tetapi saya tidak mengambilnya
244," Akta Perubatan melarang para penjual mengiklankan produk yang boleh menyembuhkan 20 jenis penyakit, salah satunya penyakit psikiatrik"
245,7
246, Banyakkan berdoa
247," Kepada yang Muslim, banyakkan solat sunat dan membaca Quran juga"
248," Apa pun pegangan anda, fokuskan kepada aspek positif untuk sembuh"
249, Ia mungkin sukar untuk dilakukan di peringkat awal depression kerana fikiran negatif akan selalu datang
250," Di sinilah pentingnya kawan dan keluarga untuk memberi kata kata positif, semangat dan dorongan"
251,8
252, Suicidal ideation (fikiran untuk membunuh diri) biasa berlaku kepada pesakit psikiatrik terutamanya depression
253, Amat penting untuk ahli keluarga dan rakan rakan mengenali simptom depression
254, Saya banyak berfikir mengenai mati tetapi alhamdulillah tidak ke tahap suicidal ideation
255, Suicidal attempt amat tinggi di kalangan wanita tetapi completed suicide lebih tinggi di kalangan lelaki
256," Apa pun, hidup ini penuh dugaan dan cabaran tetapi ia juga diisi dengan kebahagiaan untuk yang berusaha"
257, Doakan agar saya diluaskan rezeki saya di dalam apa jua bidang (mana tahu saya kembali ke bidang perubatan) dan moga kita semua selalu memberi dorongan dan motivasi kepada satu sama lain
258," Terima kasih kerana membaca, moga ada manfaat untuk semua dan saya memohon maaf atas kekurangan penulisan saya"
259," Selamat berjuang dan percayalah, ada sinar harapan untuk kita semua 🙂 Penulis: F"
260, Ini kisah saya
261, Saya menulis dalam keadaan masih dalam dilema tapi penuh dengan rasa happy
262, Paling penting saya dah tak perlukan ssri ( antidepressant) untuk rasa betul betul gembira dengan hidup ini
263, Alhamdulillah
264, Dan ramadhan ini saya anggap satu platform untuk saya betul betul memohon dari Allah jalan mana yang perlu saya pilih untuk mencari rezeki
265,Ya
266, Saya masih lagi seorang houseman di sebuah hospital
267, Tapi dalam dilema untuk resign
268, Dalam masa kurang 2 tahun pengalaman housemanship saya
269, Saya kehilangan tiga insan yang menjadi tulang belakang saya
270,5 bulan bekerja atok saya meninggal di hospital sama saya bekerja
271,8 bulan bekerja ayah saya meninggal di ccu juga di hospital sama saya bekerja
272, Sayalah yang menghentikan cpr ayah saya sendiri yang dilakukan rakan sekerja saya
273, Saya baru sebulan posting medical masa tu
274, Dan tu adalah pengalaman cpr kali kedua untuk saya
275,Betul betul saya hilang masa tu
276, Saya MIA(missing in action bermaksud tidak datang kerja)
277, Didiagnos Major Depreasive Disorder
278, Ambil ubat
279, Saya pergi hospital tapi tak mampu masuk wad
280, Saya dikira MIA
281, Jadi gaji saya disekat
282, Kemudian tahun yang sama nenek saya yang mengasuh dari kecil didiagnos kanser
283, Masa tu sedikit motivasi untuk bekerja
284, Beliau pun sedih dengan keadaan saya
285, Jadi saya teruskan bekerja tanpa gaji selama 4 bulan
286, Hinggalah nenek saya menghembuskan nafas terakhir 2bulan lepas
287, Dalam masa tersebut saya terlalu faham bahawa bukan mudah untuk memjaga orang yang sakit terlantar
288, Seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital
289, Semua ni terlalu laju untuk saya
290, Saya tak sempat nak rsa apa apa
291,Saya cuma mampu menarik nafas panjang
292, Jujurnya saya redha dengan semua ni walaupun terlalu sukar
293, Cuma saya akan belajar redha juga jika menjadi seorang doktor bukan lagi rezeki saya
294, Semua yang jadi menyebabkan saya cepat jadi depressed
295, Pandangan saya tentang kehidupan banyak berubah
296, Apatah lagi sekarang ni saya cuma ada ibu dan adik adik saya
297,Salah ke kalau saya rasa nak resign sebab nak duduk dengan family je
298, Nak cari rezeki tapi nk family depan mata
299, Salah ke kalau saya taknak terlalu stress then depressed? Salah ke?Penulis:  Umaira
300,Assalamualaikum semua
301, Nama aku Fezzul (bukan nama sebenar) umur aku dalam 22 tahun
302, Aku nak cerita pengalaman aku apabila disahkan menghidap depresi dan kemurungan
303,Okay aku ni boleh dikatakan budak cerdik juga la sebab UPSR dan PMR aku straight A
304, Cuma SPM aku je dpt 6A tapi aku tetap bersyukur
305, Then aku mohon la UPU untuk masuk universiti malangnya permohonan aku gagal
306, Aku cuba buat rayuan dan keputusan still sama aku gagal
307,Aku kecewa dan sedih la jugak sebab kawan2 semua smbung belajar masuk universiti
308, Okay takpa la aku teruskan belajar dgn ambik STPM di sekolah dan Alhamdulilah aku berjaya grad dgn CGPA 3
309,6 Aku berasa gembira sngat time tu
310,Nak jadikan cerita lepastu aku dapat tawaran masuk universiti awam yang top la jugak di Malaysia dalam kos pendidikan
311, Aku gembira sngat
312, Nak jadikan cerita sebulan aku stay di sana aku rasa stress sangat sebab aku pi kelas naik bas
313, Nak naik bas pula kena tunggu dan keadaan dalam bas tu sentiasa penuh dengan orang
314,Aku pernah lewat kena marah dengan lecture sebab lambat datang kelas pada hari pertama sedangkan aku bukan tertidur ke sengaja datang lewat cuma bas tu dah penuh aku terpaksa tunggu bas lain datang pula la
315, Dan universiti aku ni pula besar first time datang nak daftar dulu pon aku sesat tak jumpa jalan
316,Macam2 terjadi dekat aku dekat sana
317, Dalam sebulan tu jgak wifi universiti tak boleh nak connect dengan laptop aku
318, Aku stress
319, Terpaksa pergi Pusat Teknologi maklumat jalan kaki jauh la jugak sebab nak settlekan masalah ni
320,2 kali aku pergi ulang alik jalan kaki penat tau sampai ja sana terus berpeluh
321, Aku bukan tak nak naik bus cuma aku tak tahu sama ada bus tu berhenti ke tidak kat pusat teknologi tu
322, Daripada sesat aku ambik keputusan jalan kaki
323,Dan apa yang malang lagi roomate aku pula jenis buat hal sendiri je
324, Tak pernah nak ambil kisah pasal aku ni
325, Aku nak survive kat sini pon susah sebab aku tak ada kawan dan aku pula bukan jenis cepat bergaul dengan orang
326,So memang susah la bagi aku nak survive kat universiti tambah pula dengan banyak esaimen dan grup wassap melibatkan universiti saja ada sampai 24 grup
327, Mesej chat sentiasa masuk sampai aku rasa lemas
328,Semua ni buatkan aku stress overthinking dan sampai satu tahap aku tak boleh tidur malam
329, Otak aku tak berhenti berfikir dan aku serabut fikir banyak masalah sampai satu tahap aku keluar seorang pergi mall sebab nak release stress dan di situlah timbul satu idea nak bunuh diri
330, Time ni aku ada dekat mall tingkat atas dan aku dengar suara orang berbisik “best jugak kalau terjun ni”
331,Start dari situ aku dah tak boleh nak kawal diri aku
332, Aku rasa otak aku ni dah lost sekejap
333, Tapi aku tak layan perasaan macam tu
334, Aku terus call parents kata depress rasa nak bunuh diri
335, Aku menangis dan aku cerita kat parents aku macam2 jadi dekat universiti sampai aku depress sangat
336,Dan malam tu jugak aku ambik keputusan nak balik rumah
337, Sebab aku memang rasa ada yang pelik dengan diri aku
338, Aku tak macam aku yang selalu
339, Aku pon tak tahu macam mana aku boleh depress sampai tahap macam tu sekali
340, Aku bersyukur sebab akhirnya sampai juga rumah walaupon time tu otak aku dah tak betul
341, Aku menangis teruk dan give up dengan life kat sana
342,Aku beritahu parents nak berhenti belajar
343, Lepas je berhenti belajar aku kemurungan pula
344, Aku tak dak selera nak makan
345, Otak aku 24 jam fikir nak mati
346, Aku kecewa dengan diri sendiri sebab tak boleh nak survive kat universiti sedangkan antara goals aku adalah nak masuk universiti
347, Aku selalu rasa nak cederakan diri aku
348, Aku meroyan teruk
349, Dan aku tak boleh nak tidur malam
350,  Otak ni kalau tak dapat rest atau tidur secukupnya memang tak boleh nak fikir dengan waras
351, Dan smpai 3 hari aku tak mandi
352, Rasa betul2 hopeless
353, Dan 3 bulan tu juga aku tak keluar rumah sebab takut dengan orang sekeliling
354, Dunia aku jadi gelap
355,Dan parents aku tengok keadaan aku makin teruk parents bawa pi rawatan islam
356, (Time ni aku dengan parents tak tahu lagi yang aku kena penyakit depression)
357, Merata pi berubat sampai ada ustaz seorang ni kata aku ada saka
358, Tapi aku rasa aku tak ada gangguan makhluk halus pon sebenarnya
359, Sampai la satu hari ada orang suggest dekat parents aku suruh bawa pergi hospital pakar psikatrik
360,First time jumpa doktor aku rasa takut sangat
361, Aku tak boleh nak pandang dan bercakap dengan doktor sebab otak aku 24 jam overthinking
362, Aku just tunduk ketakutan dan aku menangis non stop
363, Keadaan aku time tu sangat la lemah dan penat sebab otak non stop berfikir je
364, Dan aku juga susah nak fokus dan mudah lupa
365, Aku juga mengalami lupa ingatan sementara
366,Doktor tu kata kat parents aku bawa balik dulu nanti jumpa lagi
367, And doktor tu bagi aku ubat banyak gila nak kena makan
368, Aku balik dan hari2 aku makan ubat
369, Alhamdulilah aku dah boleh tidur malam dan aku boleh kawal emosi aku
370,2 bulan selepas tu aku semakin baik dan sembuh
371, Aku jumpa doktor tu lagi dan time tu baru ada keyakinan nak bercakap dengan doktor
372, Dan doktor sahkan aku menghidap depresi dan kemurungan
373, Doktor kata antara salah satu punca dia adalah kurang tidur
374, Doktor selalu ingatkan aku supaya tidur kena cukup
375,Dan sekarang aku masih lagi menerima rawatan 3 bulan sekali
376, Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja
377, Aku sempat kerja sebagai cikgu ganti selama 2 bulan selepas saja aku sembuh dari penyakit ni tapi dah habis tempoh kontrak
378, Parents aku ada juga suruh apply kerja tapi aku tak berminat nak kerja benda yang aku tak suka
379,Buat masa sekarang aku masih lagi menunggu panggilan kerja sebagai guru ganti sebab hati aku ni tak terbuka nak kerja benda lain
380, Aku semakin baik cuma aku kadang2 ada juga la rasa murung tu
381, Aku dah tak happy macam dulu lagi
382, Aku tetap bersyukur walaupon aku rasa ujian aku ni berat sangat tapi aku masih bernyawa lagi
383, Allah tetap bagi aku hidup lagi
384,Semua yang berlaku pasti ada hikmahnya
385, Tapi kadang2 aku fikir juga kenapa Allah bagi aku ujian macam ni penyakit yang luar nampak normal tapi dalam tu merana sangat
