,Text,Label
43," Itu belum kalau anak sekolah lagi, kene pergi balik amik anak sekolah",non-deppressive
44,"Kita la driver, kita la tukang masak, kita la tukang cuci, kita la bibik, kita la cikgu, kita la doktor bila anak kena pantau sakit dirumah)",risk factor
45, Semua profession kerja ibu dia sapu,non-deppressive
47," Bila overstressed, anak la jadi mangsa marah dia",risk factor
48, Baru beberapa hari je tu,non-deppressive
49, Kita bertahun jadi housewife rileks je,non-deppressive
50,"Saya pernah je bekerja, tapi demi untuk fokus membesarkan anak anak depan mata, saya sanggup korbankan semua tu",non-deppressive
51, Duit bukan la segalanya,non-deppressive
52,Kalau ikutkan sapa yang tak nak ada duit sendiri bergaji bagai,non-deppressive
53, Ramai kata baik bekerja dari jaga sendiri anak anak dirumah,non-deppressive
54, Stress dia lain macam,symptom
55, Tapi saya dah biasa lalui semua tu,non-deppressive
56,  Oh ok,non-deppressive
58," banyak menyimpang dah ni… bila suami saya stress, saya juga turut terasa tempiasnya",non-deppressive
59," Almaklum orang berpantang ni, hati bak tisu",symptom
61, asyik nak mengalir je air mata ni,symptom
62, Lebih lebih lagi mengenangkan anak yang masih baby masuk wad,symptom
63,Lagi laa,non-deppressive
64," The best part is, bila mak sendiri boleh join sekaki dengan si suami",risk factor
65," Mentang mentang ada geng, ada je benda nak dihentam saya",risk factor
66, Saya yang dituduh stress sangat,risk factor
67, Saya takkan memandai stress kalau takde punca,symptom
68, Come on la,non-deppressive
69, Dah besar kot,non-deppressive
70,Anak dah 3 kan,non-deppressive
72," sampaikan satu hari saya langgar pantang larang, saya pegi vakuum satu rumah sebab before that saya kata bawah hall tu kotor and nanti sapu kalau free,Then si suami yang salah faham ni dia cakap dengan nada tinggi, mengatakan yang dia vakuum/ bersihkan rumah much much better dari saya",risk factor
73, Pegi la tengok sendiri kalau tak percaya,non-deppressive
74,Saya pon mula la tiba2 datang sensitif punya feeling,symptom
75, Turun dan vakuum satu rumah,non-deppressive
76," Saya nak kata dekat dia yang itu untuk list esok buat kerja rumah sebab we all dah diskus sebelum saya beranak,Saya akan bagi list kerja rumah supaya dia tahu apa yang kene buat dahulu",non-deppressive
77," Hari itu saya lari tidur di hall sampai 4 pagi tak boleh tidur, nak pam susu pon dapat sikit je",symptom
78,"Keesokannya, dia tegur saya macam biasa takde rasa perasaan bersalah",risk factor
79, Saya masih lagi pendam,symptom
80, Perempuan kot,non-deppressive
81, Dia punya ambil masa nak back to normal tu adakala sampai 2-3 hari,non-deppressive
83,"Saya terus cakap jangan cakap dengan saya, just leave me alone dan saya tak boleh tengok muka dia",risk factor
84, Sampai nak ke hospital pon saya nak drive sendiri je,non-deppressive
85,Balik dari hospital saya drive sendiri,non-deppressive
86, (Memang dah takde pantang ni,non-deppressive
87, Pantang koboi orang cakap),non-deppressive
89, bayangkan di hospital saya kene tunggu dekat kereta je sebelum nurse call panggil naik BF baby,non-deppressive
90, Time menunggu saya pam susu sambil makan light snack,non-deppressive
91, Habis pam naik balik hantar susu,non-deppressive
92,Then turun balik stay kat kereta ambil masa refill balik susu dalam badan,non-deppressive
93, Nak ke wad tu pon boleh tahan berjalan,non-deppressive
94, Dapat wheelchair tu kira bonusla,non-deppressive
95,Hampir 5-6 kali berjalan ke wad untuk BF dan hantar susu selepas pam,non-deppressive
96," Duduk dekat kereta lama lama pon pinggang dah cramp, plus luka jahitan masih belum pulih sepenuhnya",non-deppressive
97, Double stress bila baby masuk wad,risk factor
98, Saya ni dah la jenis tak boleh berpisah dengan anak,risk factor
99,"Dekat rumah saya cuba tolong juga husband dengan mandikan anak, kemas katil, minum semua saya buat sendiri",non-deppressive
100, Plus makan pantang saya paling mudah,non-deppressive
101, Nasi + ikan bilis goreng je,non-deppressive
102,Saya dah give up sampai saya rasa saya akan buat je sendiri semua kerja rumah dalam pantang ni,non-deppressive
103, Puas hati,non-deppressive
104," Bentan ke apa belakang cerita, haha",non-deppressive
105,Macam mana saya nak cakap kat suami ni stress yang dia lalu ni bersifat sementara je,non-deppressive
106, Takpe la wife dia punya stress tolak tepi la,risk factor
107, Saya minta layan anak elok elok,non-deppressive
108," Jangan merungut buat kerja rumah, jangan tunjuk diri tu super bz sangat",non-deppressive
